Symbol,NumAppearances
VOW3.DE,6
WEC,6
TEL,6
00968,6
01398,6
VRNS,6
BCE.TO,6
TJX,6
RIGD.BO,6
COKE,6
DDS,6
WY,6
PFF,6
IFX.DE,6
PRU,6
KINV B,6
IPG,6
DAR,6
RS,6
TDY,6
LHX,6
ANGL,6
USB,6
BKE,6
2615.TW,6
IRM,6
INDA,6
01113.HK,6
RIO.AX,6
EWBC,6
VNA.DE,6
8801,6
GRMN,6
VALMT,6
ENG.BC,6
MAERSK B,6
NUAN,6
2454.TW,6
SOF,6
500034.BO,6
XLP,6
SEE,6
EIX,6
BBY,6
SLAB,6
VTR,6
ITUB4.SA,6
ALLY,6
CNC,6
DVN,6
EQT,6
IEFA,6
PAYX,6
LKOH,6
GAZP,6
MTD,6
PPG,6
JEF,6
OLN,6
TSN,6
ZBU21,6
DG,6
TER,6
CLX,6
MTDR,6
DGX,6
APPS,6
ARWR,6
ZTU21,6
9432,6
GETI B,6
KSU,6
PFPT,6
FDS,6
BRO,6
BKLN,6
BNTX.DE,5
DD,5
ABX.TO,5
KKR,5
02313,5
03968,5
OSK,5
002594,5
MPLX,5
MMP,5
IEMG,5
XYL,5
WTRG,5
PNR,5
WORK,5
TDOC,5
FATE,5
U,5
BBCA,5
OTIS,5
AGNC,5
XEC,5
TCOM,5
EXPE,5
EDIT,5
BMO.TO,5
CP.TO,5
CLF,5
02020,5
TPIXX,5
EPAM,5
FSK,5
MARA,5
SGEN,5
IEI,5
ALB,5
ESTC,5
RBLX,5
CELH,5
AVTR,5
FNV.TO,5
SIG,5
NSC,5
CMS,5
K,5
BX,5
USFR,5
2412.TW,5
GEBN,5
01171,5
YUMC,5
00916,5
00002.HK,5
L.TO,5
WST,5
ANET,5
VFF.TO,5
GMEXICOB.M,5
ULTR,5
BEAM,5
UPM,5
CWB,5
ORLY,5
DELL,5
BG,5
TDG,5
MED,5
AIG,5
PFG,5
BPOP,5
MIN.AX,5
FLGT,5
XLB,5
011200.KS,5
MOCORP,5
SJR.B.TO,5
9101,5
IEX,5
ORSTED,5
PDCE,5
WIX,5
NICE,5
005935.KS,5
ICICIBANK.,5
HES,5
LI,5
TEF.BC,5
VER,5
SYKE,5
FAF,5
EMLC,5
CI,5
BILL,5
TOU.TO,5
KNIN,5
2914,5
NG..L,5
NXPI,5
532215.BO,5
500820.BO,5
CTAS,5
DKS,5
THC,5
APO,5
APTV,5
HBAN,5
GIS,5
HCA,5
TSCO,5
AGO,5
RGLD,5
RRC,5
HL,5
RVLV,5
CPE,5
MET,5
EXPO,5
SRLN,5
OMI,5
FIVN,5
CPK,5
WAT,5
SPCE,5
ESU21,5
ADC,5
OMC,5
IWM,5
PHB,4
XPEL,4
600276,4
EW,4
CVNA,4
APPN,4
PSXP,4
IJH,4
BIO,4
DOX,4
RMG.L,4
AA,4
UBER,4
LYFT,4
051910.KS,4
WBC.AX,4
TBIO,4
CTLT,4
GLPI,4
HLT,4
MAR,4
ENT.L,4
02331,4
REXR,4
OSTK,4
FRGXX,4
TAEE11.SA,4
ALNY,4
CHKP,4
KLAC,4
MDP,4
AMCX,4
SEM,4
BIG,4
7267,4
000270.KS,4
VIE.PA,4
BGNE,4
01919,4
02382,4
GDS,4
BEKE,4
603288,4
002475,4
300015,4
SHV,4
VLO,4
DAL,4
LUV,4
RCL,4
AMEH,4
MGEE,4
AWR,4
UVV,4
CNXC,4
BACPL,4
ROK,4
CPRT,4
FXR,4
CFG,4
KESKOB,4
ROSN,4
ATH,4
USHY,4
SHYG,4
CB,4
BGS,4
ETRN,4
VWO,4
REL.L,4
PGHN,4
PNFP,4
1925,4
SC,4
DXC,4
NXST,4
PPL,4
RH,4
BURL,4
TPX,4
CALX,4
SGRY,4
BF.B,4
AKAM,4
BMW.DE,4
ESGU,4
ESGD,4
EAGG,4
ESGE,4
ESML,4
FALABELLA,4
LKOD,4
UNFI,4
CRDA.L,4
2303.TW,4
005490.KS,4
HCLTECH.BO,4
PNCPP,4
LBRDK,4
IT,4
HUYA,4
HII,4
DECK,4
CHPT,4
VGK,4
BNP.PA,4
SAN.BC,4
ZURN,4
INGA,4
ERII,4
CFR,4
PRX,4
VOE,4
CLNX.BC,4
DG.PA,4
MAA,4
TRUP,4
ICP.L,4
SMDS.L,4
RMV.L,4
AMXL.MX,4
2609.TW,4
PETR3.SA,4
IMP.JO,4
GFI.JO,4
SSE.L,4
AVTRPA,4
SAM,4
AVXL,4
BAH,4
IYR,4
VCIT,4
CNQ.TO,4
MAXR,4
KEYS,4
BHARTIARTL,4
CNHI.L,4
ACM,4
MTCH,4
EMR,4
QRTEA,4
GHC,4
TXT,4
AAP,4
FNF,4
VACN,4
SIGN,4
6326,4
LUMN,4
SJM,4
UTHR,4
SYNA,4
