Symbol,Name,NumAppearances,Holders
GOOGL,Alphabet Inc A,263,"[('IXP', 0.125), ('IXP', 0.119), ('XLC', 0.115), ('VOX', 0.113), ('FCOM', 0.112)]"
MSFT,Microsoft Corp,199,"[('XLK', 0.204), ('VGT', 0.171), ('IYW', 0.17), ('FTEC', 0.165), ('IXN', 0.164)]"
AAPL,Apple Inc,191,"[('XLK', 0.215), ('VGT', 0.201), ('FTEC', 0.195), ('IYW', 0.178), ('IXN', 0.174)]"
NVDA,NVIDIA Corp,163,"[('USD', 0.17), ('BOTZ', 0.11), ('FNGS', 0.1), ('SMH', 0.1), ('BIBL', 0.098)]"
AMZN,Amazon.com Inc,160,"[('ONLN', 0.245), ('VCR', 0.228), ('FDIS', 0.227), ('XLY', 0.225), ('CLIX', 0.22)]"
FB,Facebook Inc A,147,"[('XLC', 0.237), ('VOX', 0.17), ('FCOM', 0.169), ('IXP', 0.162), ('FNGS', 0.1)]"
TSLA,Tesla Inc,126,"[('IYK', 0.169), ('VCAR', 0.16), ('XLY', 0.142), ('UGE', 0.111), ('ARKQ', 0.108)]"
JPM,JPMorgan Chase & Co,111,"[('IYG', 0.115), ('XLF', 0.115), ('VFH', 0.095), ('FNCL', 0.094), ('KBWB', 0.081)]"
JNJ,Johnson & Johnson,97,"[('IHE', 0.227), ('IEIH', 0.093), ('XLV', 0.092), ('IYH', 0.083), ('FTXH', 0.077)]"
BRK.B,Berkshire Hathaway Inc Class B,90,"[('XLF', 0.128), ('ABEQ', 0.09), ('FAS', 0.088), ('DUSA', 0.08), ('FNCL', 0.076)]"
ROG,Roche Holding AG,70,"[('EWL', 0.142), ('HDEF', 0.056), ('HDAW', 0.055), ('IDHQ', 0.051), ('EUDG', 0.045)]"
NESN,Nestle SA,66,"[('EWL', 0.199), ('KXI', 0.092), ('SDGA', 0.054), ('HART', 0.048), ('IDHQ', 0.048)]"
ASML,ASML Holding NV ADR,65,"[('EWN', 0.24), ('IDMO', 0.089), ('FEZ', 0.081), ('IMTM', 0.064), ('HEDJ', 0.06)]"
V,Visa Inc Class A,63,"[('IYG', 0.097), ('IYF', 0.06), ('IPAY', 0.058), ('PALC', 0.047), ('JOYY', 0.046)]"
00700,Tencent Holdings Ltd,56,"[('MCHI', 0.133), ('GXC', 0.124), ('CXSE', 0.119), ('AIA', 0.117), ('KWEB', 0.106)]"
NOVN,Novartis AG,56,"[('EWL', 0.106), ('HDEF', 0.051), ('HART', 0.049), ('HDAW', 0.044), ('DTH', 0.042)]"
FTIXX,Goldman Sachs FS Treasury Intms Instl,56,"[('WEBS', 0.706), ('CLDS', 0.621), ('LABD', 0.604), ('FAZ', 0.592), ('SOXS', 0.584)]"
ADBE,Adobe Inc,55,"[('IGV', 0.091), ('SXQG', 0.056), ('PNQI', 0.049), ('AMOM', 0.048), ('PWB', 0.039)]"
VZ,Verizon Communications Inc,54,"[('IYZ', 0.213), ('LTL', 0.167), ('FDL', 0.071), ('HDV', 0.063), ('DJD', 0.061)]"
UNH,UnitedHealth Group Inc,53,"[('IHF', 0.228), ('IEHS', 0.116), ('XLV', 0.08), ('DIA', 0.077), ('IYH', 0.072)]"
