Bigram,Name,SumWeights,Holders,DiffEntries,DiffValue
"('MCD', 'UNH')","(""McDonald's Corp"", 'UnitedHealth Group Inc')",0.122,"[('DIA', 0.122)]",New,New+0.122
"('GS', 'MCD')","('Goldman Sachs Group Inc', ""McDonald's Corp"")",0.121,"[('DIA', 0.121)]",New,New+0.121
"('HON', 'UNH')","('Honeywell International Inc', 'UnitedHealth Group Inc')",0.12,"[('DIA', 0.12)]",New,New+0.12
"('BA', 'UNH')","('Boeing Co', 'UnitedHealth Group Inc')",0.118,"[('DIA', 0.118)]",New,New+0.118
"('BA', 'GS')","('Boeing Co', 'Goldman Sachs Group Inc')",0.118,"[('DIA', 0.118)]",New,New+0.118
"('HD', 'HON')","('The Home Depot Inc', 'Honeywell International Inc')",0.104,"[('DIA', 0.104)]",New,New+0.104
"('BA', 'HD')","('Boeing Co', 'The Home Depot Inc')",0.102,"[('DIA', 0.102)]",New,New+0.102
"('MCD', 'MSFT')","(""McDonald's Corp"", 'Microsoft Corp')",0.1,"[('DIA', 0.1)]",New,New+0.1
"('HON', 'MSFT')","('Honeywell International Inc', 'Microsoft Corp')",0.099,"[('DIA', 0.099)]",New,New+0.099
"('BA', 'MSFT')","('Boeing Co', 'Microsoft Corp')",0.097,"[('DIA', 0.097)]",New,New+0.097
"('CRM', 'MCD')","('Salesforce.com Inc', ""McDonald's Corp"")",0.093,"[('DIA', 0.093)]",New,New+0.093
"('CRM', 'HON')","('Salesforce.com Inc', 'Honeywell International Inc')",0.092,"[('DIA', 0.092)]",New,New+0.092
"('BA', 'CRM')","('Boeing Co', 'Salesforce.com Inc')",0.09,"[('DIA', 0.09)]",New,New+0.09
"('MCD', 'V')","(""McDonald's Corp"", 'Visa Inc Class A')",0.087,"[('DIA', 0.087)]",New,New+0.087
"('HON', 'MCD')","('Honeywell International Inc', ""McDonald's Corp"")",0.087,"[('DIA', 0.087)]",New,New+0.087
"('HON', 'V')","('Honeywell International Inc', 'Visa Inc Class A')",0.086,"[('DIA', 0.086)]",New,New+0.086
"('AMGN', 'MCD')","('Amgen Inc', ""McDonald's Corp"")",0.086,"[('DIA', 0.086)]",New,New+0.086
"('AMGN', 'V')","('Amgen Inc', 'Visa Inc Class A')",0.085,"[('DIA', 0.085)]",New,New+0.085
"('BA', 'MCD')","('Boeing Co', ""McDonald's Corp"")",0.085,"[('DIA', 0.085)]",New,New+0.085
