Symbol,Name,SumWeights,Holders,DiffEntries,DiffValue
CLF2.L,Crude Oil Dec21,0.077,"[('DBC', 0.077)]",New,New+0.077
06160,BeiGene Ltd Ordinary Shares,0.037,"[('IDNA', 0.037)]",New,New+0.037
PPD,PPD Inc Ordinary Shares,0.03,"[('JSMD', 0.03)]",New,New+0.03
00285,BYD Electronic (International) Co Ltd,0.028,"[('CHIK', 0.028)]",New,New+0.028
FAST,Fastenal Co,0.028,"[('PAVE', 0.028)]",New,New+0.028
GAPB.MX,Grupo Aeroportuario del Pacifico SAB de CV Class B,0.027,"[('EWW', 0.027)]",New,New+0.027
ASURB.MX,Grupo Aeroportuario del Sureste SAB de CV Class B,0.024,"[('EWW', 0.024)]",New,New+0.024
JUP.L,Jupiter Fund Management PLC,0.022,"[('DFE', 0.022)]",New,New+0.022
TGS,TGS ASA,0.02,"[('DFE', 0.02)]",New,New+0.02
CHEMM,ChemoMetec A/S,0.02,"[('DFE', 0.02)]",New,New+0.02
ANIM.MI,Anima Holding SpA,0.018,"[('DFE', 0.018)]",New,New+0.018
PIA.MI,Piaggio & C. SpA,0.018,"[('DFE', 0.018)]",New,New+0.018
MKSI,MKS Instruments Inc,0.018,"[('JSMD', 0.018)]",New,New+0.018
DRX.L,Drax Group PLC,0.017,"[('DFE', 0.017)]",New,New+0.017
7751,Canon Inc,0.017,"[('DOO', 0.017)]",New,New+0.017
KBH,KB Home,0.016,"[('HOMZ', 0.016)]",New,New+0.016
TPH,Tri Pointe Homes Inc,0.016,"[('HOMZ', 0.016)]",New,New+0.016
IRT,Independence Realty Trust Inc,0.016,"[('HOMZ', 0.016)]",New,New+0.016
MONY.L,Moneysupermarket.com Group PLC,0.015,"[('DFE', 0.015)]",New,New+0.015
AXGN,Axogen Inc,0.015,"[('HTEC', 0.015)]",New,New+0.015
TRHC,Tabula Rasa HealthCare Inc,0.015,"[('HTEC', 0.015)]",New,New+0.015
KTB,Kontoor Brands Inc,0.014,"[('DES', 0.014)]",New,New+0.014
ITX.BC,Industria De Diseno Textil SA,0.014,"[('DSTX', 0.014)]",New,New+0.014
CMP,Compass Minerals International Inc,0.011,"[('DES', 0.011)]",New,New+0.011
CNA,CNA Financial Corp,0.01,"[('DON', 0.01)]",New,New+0.01
AGS,Ageas SA/ NV,0.006,"[('IMFL', 0.006)]",New,New+0.006
8570,AEON Financial Service Co Ltd,0.005,"[('DFJ', 0.005)]",New,New+0.005
