Symbol,Name,NumAppearances,Holders
00939,China Construction Bank Corp Class H,40,"[('CHIX', 0.092), ('KESG', 0.072), ('FXI', 0.054), ('FNDE', 0.031), ('DEM', 0.03)]"
AZN.L,AstraZeneca PLC ADR,40,"[('EWU', 0.064), ('HEWU', 0.064), ('FLGB', 0.055), ('PPH', 0.052), ('AGNG', 0.034)]"
BABA,Alibaba Group Holding Ltd ADR,39,"[('ADRE', 0.168), ('KNGS', 0.152), ('ONLN', 0.146), ('CLIX', 0.138), ('GXC', 0.114)]"
PFE,Pfizer Inc,36,"[('IHE', 0.18), ('IEIH', 0.059), ('RDIV', 0.051), ('DURA', 0.05), ('PPH', 0.049)]"
AGPXX,Invesco Shrt-Trm Inv Gov&Agcy Instl,36,"[('DWSH', 0.949), ('UDN', 0.453), ('DBV', 0.442), ('PDBC', 0.399), ('BSAE', 0.385)]"
LLY,Eli Lilly and Co,33,"[('IEIH', 0.057), ('HART', 0.056), ('PPH', 0.051), ('XPH', 0.047), ('IHE', 0.046)]"
JD,JD.com Inc ADR,33,"[('EWEB', 0.077), ('ARKQ', 0.07), ('CHIQ', 0.067), ('KWEB', 0.062), ('DINT', 0.054)]"
NOVO B,Novo Nordisk A/S B,33,"[('EDEN', 0.224), ('DNL', 0.038), ('OEUR', 0.038), ('AGNG', 0.034), ('DIVS', 0.031)]"
MA,Mastercard Inc A,33,"[('LCG', 0.09), ('IPAY', 0.057), ('VNSE', 0.053), ('TPAY', 0.044), ('OPPX', 0.043)]"
WMT,Walmart Inc,32,"[('XLP', 0.091), ('FSTA', 0.084), ('AVDG', 0.068), ('FTXD', 0.062), ('AMOM', 0.061)]"
FGTXX,Goldman Sachs FS Government Instl,32,"[('SOYB', 212.311), ('CANE', 0.596), ('TECS', 0.386), ('CORN', 0.343), ('KORU', 0.215)]"
PM,Philip Morris International Inc,31,"[('WBIY', 0.058), ('IECS', 0.051), ('HDV', 0.048), ('FSTA', 0.046), ('WBIG', 0.046)]"
NKE,Nike Inc B,31,"[('HART', 0.055), ('DIVO', 0.052), ('XLY', 0.044), ('MVP', 0.043), ('IEDI', 0.042)]"
T,AT&T Inc,31,"[('NVQ', 0.079), ('VLUE', 0.072), ('DEW', 0.051), ('SPVU', 0.051), ('GBLO', 0.049)]"
01299.HK,AIA Group Ltd,30,"[('FLHK', 0.206), ('EPP', 0.075), ('BBAX', 0.074), ('DINT', 0.049), ('AIA', 0.045)]"
WFC,Wells Fargo & Co,30,"[('KBWB', 0.083), ('DUSA', 0.062), ('DWLD', 0.061), ('DFNL', 0.058), ('IEFN', 0.049)]"
RIO.L,Rio Tinto PLC,29,"[('SLX', 0.146), ('FTRI', 0.098), ('PICK', 0.081), ('IDV', 0.077), ('IHDG', 0.066)]"
