Symbol,Name,SumWeights,Holders
AAPL,Apple Inc,12.023999999999996,"[('XLK', 0.215), ('VGT', 0.201), ('FTEC', 0.195), ('IYW', 0.178), ('IXN', 0.174)]"
MSFT,Microsoft Corp,11.677999999999994,"[('XLK', 0.204), ('VGT', 0.171), ('IYW', 0.17), ('FTEC', 0.165), ('IXN', 0.164)]"
AMZN,Amazon.com Inc,8.969000000000005,"[('ONLN', 0.245), ('VCR', 0.228), ('FDIS', 0.227), ('XLY', 0.225), ('CLIX', 0.22)]"
GOOGL,Alphabet Inc A,8.506999999999989,"[('IXP', 0.125), ('IXP', 0.119), ('XLC', 0.115), ('VOX', 0.113), ('FCOM', 0.112)]"
CLK0,Crude Oil Apr20,5.998,"[('OILD', 3.0), ('OILU', 2.998)]"
FB,Facebook Inc A,5.477999999999995,"[('XLC', 0.237), ('VOX', 0.17), ('FCOM', 0.169), ('IXP', 0.162), ('KNGS', 0.152)]"
NVDA,NVIDIA Corp,4.616999999999995,"[('USD', 0.17), ('BOTZ', 0.11), ('FNGS', 0.1), ('SMH', 0.1), ('BIBL', 0.098)]"
AGPXX,Invesco Shrt-Trm Inv Gov&Agcy Instl,4.512,"[('DWSH', 0.949), ('DBV', 0.442), ('UDN', 0.387), ('UUP', 0.295), ('DBE', 0.271)]"
TSLA,Tesla Inc,4.200999999999995,"[('IYK', 0.169), ('VCAR', 0.16), ('XLY', 0.142), ('UGE', 0.111), ('ARKQ', 0.108)]"
IVV,iShares Core S&P 500 ETF,4.2,"[('SPUU', 0.97), ('HEGD', 0.823), ('SPXL', 0.702), ('ROMO', 0.7), ('AOR', 0.309)]"
QQQ,"Invesco QQQ Trust, Series 1",4.142,"[('QQD', 0.994), ('QQC', 0.958), ('QPX', 0.39), ('VCAR', 0.371), ('VFIN', 0.352)]"
JNJ,Johnson & Johnson,3.0469999999999975,"[('IHE', 0.227), ('IEIH', 0.093), ('XLV', 0.092), ('IYH', 0.083), ('FTXH', 0.077)]"
00700,Tencent Holdings Ltd,2.966999999999999,"[('MCHI', 0.133), ('GXC', 0.124), ('CXSE', 0.119), ('AIA', 0.117), ('KWEB', 0.106)]"
JPM,JPMorgan Chase & Co,2.915999999999998,"[('IYG', 0.115), ('XLF', 0.115), ('VFH', 0.095), ('FNCL', 0.094), ('KBWB', 0.081)]"
2330.TW,Taiwan Semiconductor Manufacturing Co Ltd,2.5979999999999994,"[('EWT', 0.23), ('AIA', 0.123), ('EMSG', 0.109), ('XCEM', 0.104), ('KEMX', 0.101)]"
XOM,Exxon Mobil Corp,2.5509999999999997,"[('XLE', 0.237), ('IYE', 0.236), ('VDE', 0.22), ('FENY', 0.219), ('DIG', 0.184)]"
BRK.B,Berkshire Hathaway Inc Class B,2.3689999999999976,"[('XLF', 0.128), ('ABEQ', 0.09), ('FAS', 0.088), ('DUSA', 0.08), ('FNCL', 0.076)]"
TFDXX,BlackRock Liquidity FedFund Instl,2.328,"[('HDGE', 2.328)]"
ASML,ASML Holding NV ADR,2.049999999999998,"[('EWN', 0.24), ('IDMO', 0.089), ('FEZ', 0.081), ('IMTM', 0.064), ('HEDJ', 0.06)]"
CVX,Chevron Corp,1.98,"[('XLE', 0.2), ('IYE', 0.179), ('VDE', 0.166), ('FENY', 0.165), ('ERX', 0.163)]"
DGCXX,Dreyfus Government Cash Mgmt Instl,1.9609999999999999,"[('SPDN', 0.799), ('COM', 0.779), ('KORU', 0.288), ('DUSL', 0.078), ('RWVG', 0.016)]"
VOO,Vanguard S&P 500 ETF,1.955,"[('OVL', 1.0), ('OVLH', 0.955)]"
UNH,UnitedHealth Group Inc,1.9269999999999996,"[('IHF', 0.228), ('IEHS', 0.116), ('XLV', 0.08), ('IYH', 0.072), ('FHLC', 0.064)]"
VCSH,Vanguard Short-Term Corporate B,1.9149999999999998,"[('OVT', 1.0), ('QED', 0.332), ('VTC', 0.327), ('QAI', 0.126), ('ADFI', 0.099)]"
PG,Procter & Gamble Co,1.833,"[('XLP', 0.155), ('VDC', 0.137), ('FSTA', 0.136), ('IYK', 0.104), ('KXI', 0.087)]"
BABA,Alibaba Group Holding Ltd ADR,1.8269999999999995,"[('ADRE', 0.168), ('KNGS', 0.16), ('CLIX', 0.138), ('ONLN', 0.123), ('GXC', 0.114)]"
09988,Alibaba Group Holding Ltd Ordinary Shares,1.7750000000000001,"[('MCHI', 0.132), ('AIA', 0.112), ('KALL', 0.096), ('EMSG', 0.089), ('CHIQ', 0.086)]"
VZ,Verizon Communications Inc,1.7699999999999994,"[('IYZ', 0.213), ('LTL', 0.167), ('FDL', 0.071), ('HDV', 0.063), ('DJD', 0.061)]"
SCHO,Schwab Short-Term U.S. Treasury,1.751,"[('KMLM', 1.684), ('KRBN', 0.067)]"
XLK,SPDR Select Sector Fund - Techn,1.7409999999999999,"[('XLSR', 0.417), ('QPX', 0.303), ('SSUS', 0.277), ('QPT', 0.178), ('LCR', 0.142)]"
NESN,Nestle SA,1.739999999999999,"[('EWL', 0.199), ('KXI', 0.092), ('SDGA', 0.054), ('HART', 0.048), ('IDHQ', 0.048)]"
