Bigram,Name,SumWeights,Holders
"('03690', '09988')","('Meituan', 'Alibaba Group Holding Ltd Ordinary Shares')",2.001,"[('CHIQ', 0.187), ('MCHI', 0.178), ('AIA', 0.149), ('EMSG', 0.12), ('KALL', 0.119)]"
"('GDX.AX', 'GDXJ.IR')","('VanEck Vectors Gold Miners ETF', 'VanEck Vectorsâ\x84¢ Junior Gold Miners ETF')",2.0,"[('GDXD', 1.0), ('GDXU', 1.0)]"
"('JNJ', 'MRK')","('Johnson & Johnson', 'Merck & Co Inc')",1.9890000000000005,"[('IHE', 0.272), ('FTXH', 0.158), ('IEIH', 0.146), ('XLV', 0.134), ('IYH', 0.12)]"
"('NOVN', 'ROG')","('Novartis AG', 'Roche Holding AG')",1.9759999999999998,"[('EWL', 0.248), ('HDEF', 0.106), ('HDAW', 0.099), ('IXJ', 0.07), ('OEUR', 0.069)]"
"('GOOGL', 'V')","('Alphabet Inc A', 'Visa Inc Class A')",1.9659999999999997,"[('TMFC', 0.107), ('JOYY', 0.103), ('FDG', 0.09), ('KVLE', 0.079), ('IGM', 0.073)]"
"('005930.KS', '00700')","('Samsung Electronics Co Ltd', 'Tencent Holdings Ltd')",1.9360000000000002,"[('AIA', 0.227), ('EEMO', 0.163), ('BKEM', 0.109), ('XSOE', 0.106), ('EEMX', 0.099)]"
"('ADBE', 'AMZN')","('Adobe Inc', 'Amazon.com Inc')",1.903,"[('PNQI', 0.129), ('LRGE', 0.117), ('PGRO', 0.11), ('QYLG', 0.106), ('ESGY', 0.105)]"
"('00700', '00939')","('Tencent Holdings Ltd', 'China Construction Bank Corp Class H')",1.8960000000000001,"[('MCHI', 0.156), ('GXC', 0.145), ('AIA', 0.138), ('KALL', 0.11), ('EMSG', 0.105)]"
"('FB', 'JPM')","('Facebook Inc A', 'JPMorgan Chase & Co')",1.8829999999999998,"[('ESG', 0.07), ('XLG', 0.065), ('ESGG', 0.055), ('OEF', 0.053), ('EPS', 0.049)]"
"('NVDA', 'PYPL')","('NVIDIA Corp', 'PayPal Holdings Inc')",1.8810000000000004,"[('SPMO', 0.119), ('VEGN', 0.086), ('BLOK', 0.084), ('KOIN', 0.084), ('XLK', 0.084)]"
"('2330.TW', 'INFY.BO')","('Taiwan Semiconductor Manufacturing Co Ltd', 'Infosys Ltd')",1.879,"[('XCEM', 0.126), ('KEMX', 0.123), ('EMXC', 0.112), ('RFEM', 0.091), ('AAXJ', 0.084)]"
"('JGBLU21', 'SCHO')","('10 Year Japanese Government Bond Future Sept 21', 'Schwab Short-Term U.S. Treasury')",1.877,"[('KMLM', 1.877)]"
"('ASML', 'MC.PA')","('ASML Holding NV ADR', 'LVMH Moet Hennessy Louis Vuitton SE')",1.8719999999999999,"[('FEZ', 0.14), ('IMTM', 0.102), ('HEDJ', 0.1), ('EZU', 0.094), ('HEZU', 0.094)]"
"('ASML', 'ROG')","('ASML Holding NV ADR', 'Roche Holding AG')",1.8579999999999994,"[('IDHQ', 0.11), ('DNL', 0.085), ('IQLT', 0.085), ('OEUR', 0.081), ('RFEU', 0.074)]"
"('AAPL', 'INTC')","('Apple Inc', 'Intel Corp')",1.8399999999999999,"[('XLK', 0.237), ('VGT', 0.218), ('FTEC', 0.214), ('IYW', 0.199), ('HLAL', 0.178)]"
"('AAPL', 'HD')","('Apple Inc', 'The Home Depot Inc')",1.823,"[('IWY', 0.15), ('IEDI', 0.127), ('IWF', 0.121), ('VONG', 0.118), ('QDEF', 0.112)]"
"('UBM21', 'VWO')","('Ultra US Treasury Bond Future June 21', 'Vanguard FTSE Emerging Markets ')",1.82,"[('RPAR', 1.82)]"
"('AAPL', 'CRM')","('Apple Inc', 'Salesforce.com Inc')",1.8199999999999998,"[('XLK', 0.237), ('VGT', 0.221), ('FTEC', 0.214), ('IYW', 0.199), ('HLAL', 0.177)]"
"('ADBE', 'FB')","('Adobe Inc', 'Facebook Inc A')",1.8090000000000002,"[('PNQI', 0.135), ('AMOM', 0.129), ('SXQG', 0.106), ('LRGE', 0.099), ('SPQQ', 0.083)]"
"('SMDY', 'SSPY')","('Syntax Stratified MidCap ETF', 'Syntax Stratified LargeCap ETF')",1.809,"[('SYUS', 0.95), ('SHUS', 0.859)]"
"('EQIX', 'PLD')","('Equinix Inc', 'Prologis Inc')",1.804,"[('REIT', 0.2), ('XLRE', 0.171), ('ICF', 0.163), ('BBRE', 0.144), ('FRI', 0.144)]"
"('XLF', 'XLK')","('SPDR Select Sector Fund - Finan', 'SPDR Select Sector Fund - Techn')",1.8000000000000003,"[('XLSR', 0.543), ('SSUS', 0.392), ('SECT', 0.216), ('AESR', 0.206), ('EQL', 0.185)]"
"('AMZN', 'LOW')","('Amazon.com Inc', ""Lowe's Companies Inc"")",1.799,"[('XLY', 0.262), ('FDIS', 0.254), ('VCR', 0.254), ('RTH', 0.252), ('IEDI', 0.195)]"
"('JNJ', 'JPM')","('Johnson & Johnson', 'JPMorgan Chase & Co')",1.7950000000000002,"[('FLV', 0.097), ('DURA', 0.093), ('VIG', 0.074), ('WKLY', 0.074), ('IWX', 0.069)]"
"('03690', '2330.TW')","('Meituan', 'Taiwan Semiconductor Manufacturing Co Ltd')",1.778,"[('EEMO', 0.169), ('AIA', 0.159), ('EMSG', 0.139), ('WUGI', 0.099), ('PBEE', 0.091)]"
"('NVDA', 'V')","('NVIDIA Corp', 'Visa Inc Class A')",1.7489999999999999,"[('XLK', 0.089), ('VEGN', 0.084), ('KOIN', 0.083), ('LRGE', 0.08), ('FTEC', 0.076)]"
"('VTI', 'ZNM21')","('Vanguard Total Stock Market ETF', '10 Year Treasury Note Future June 21')",1.744,"[('RPAR', 1.744)]"
"('MSFT', 'PG')","('Microsoft Corp', 'Procter & Gamble Co')",1.7420000000000002,"[('IOO', 0.135), ('USSG', 0.117), ('DSI', 0.116), ('SPHQ', 0.102), ('OUSA', 0.094)]"
"('ADBE', 'NVDA')","('Adobe Inc', 'NVIDIA Corp')",1.7379999999999998,"[('PWB', 0.082), ('SPQQ', 0.079), ('XLK', 0.078), ('PGRO', 0.077), ('AIQ', 0.075)]"
"('BAR', 'UBM21')","('GraniteShares Gold Trust', 'Ultra US Treasury Bond Future June 21')",1.734,"[('RPAR', 1.734)]"
"('FB', 'PYPL')","('Facebook Inc A', 'PayPal Holdings Inc')",1.723,"[('PNQI', 0.169), ('FDN', 0.133), ('PLAT', 0.09), ('IGM', 0.082), ('WEBL', 0.082)]"
"('JNJ', 'LLY')","('Johnson & Johnson', 'Eli Lilly and Co')",1.7169999999999996,"[('IHE', 0.274), ('IEIH', 0.154), ('XLV', 0.131), ('FTXH', 0.122), ('IYH', 0.117)]"
"('SSLY', 'SSPY')","('Syntax Stratified SmallCap ETF', 'Syntax Stratified LargeCap ETF')",1.714,"[('SYUS', 0.9), ('SHUS', 0.814)]"
"('AMT', 'EQIX')","('American Tower Corp', 'Equinix Inc')",1.693,"[('SRVR', 0.307), ('VPN', 0.256), ('XLRE', 0.208), ('ICF', 0.165), ('IYR', 0.136)]"
"('ASML', 'NESN')","('ASML Holding NV ADR', 'Nestle SA')",1.6929999999999998,"[('IDHQ', 0.107), ('IQLT', 0.08), ('OEUR', 0.08), ('RFEU', 0.075), ('IEV', 0.063)]"
"('UBM21', 'VEA')","('Ultra US Treasury Bond Future June 21', 'Vanguard FTSE Developed Markets')",1.682,"[('RPAR', 1.682)]"
"('CSCO', 'VZ')","('Cisco Systems Inc', 'Verizon Communications Inc')",1.6800000000000002,"[('IYZ', 0.455), ('LTL', 0.334), ('DJD', 0.115), ('HDV', 0.106), ('DHS', 0.087)]"
"('EOG', 'XOM')","('EOG Resources Inc', 'Exxon Mobil Corp')",1.675,"[('XLE', 0.282), ('IYE', 0.279), ('VDE', 0.26), ('FENY', 0.259), ('FILL', 0.161)]"
"('GOOGL', 'JNJ')","('Alphabet Inc A', 'Johnson & Johnson')",1.674,"[('HART', 0.105), ('TMFC', 0.102), ('XOUT', 0.075), ('IOO', 0.068), ('ESG', 0.064)]"
