Symbol,Name,NumAppearances,Holders,DiffEntries,DiffValue
6951,Jeol Ltd,1,"[('AIIQ', 0.021)]",New,New+1
6516,Sanyo Denki Co Ltd,1,"[('AIIQ', 0.017)]",New,New+1
PLS.AX,Pilbara Minerals Ltd,1,"[('BNE', 0.021)]",New,New+1
VOW.DE,Volkswagen AG,1,"[('BNE', 0.016)]",New,New+1
ALFEN,Alfen NV,1,"[('BNE', 0.013)]",New,New+1
066970.KS,L & F Co Ltd,1,"[('BNE', 0.013)]",New,New+1
MXL,MaxLinear Inc,1,"[('BOUT', 0.03)]",New,New+1
IR,Ingersoll Rand Inc,1,"[('BOUT', 0.029)]",New,New+1
UWM,ProShares Ultra Russell2000,1,"[('FFHG', 0.052)]",New,New+1
SSO,ProShares Ultra S&P500,1,"[('FFHG', 0.05)]",New,New+1
MVV,ProShares Ultra MidCap400,1,"[('FFHG', 0.049)]",New,New+1
ANSS,Ansys Inc,1,"[('IQM', 0.025)]",New,New+1
TCEHY,Tencent Holdings Ltd ADR,1,"[('KNGS', 0.044)]",New,New+1
4543,Terumo Corp,1,"[('MDEV', 0.022)]",New,New+1
MNRPC,Monmouth Real Estate Investment Corp C,1,"[('PFFR', 0.031)]",New,New+1
NLYPF,Annaly Capital Management Inc Cum Conv Red Pfd Registered Shs Series -F-,1,"[('PFFR', 0.028)]",New,New+1
DLRPL,Digital Realty Trust Inc 5.20% PRF PERPETUAL USD 25 Ser L,1,"[('PFFR', 0.021)]",New,New+1
AGNCP,AGNC Investment Corp FXDFR PRF PERPETUAL USD 25 Series F,1,"[('PFFR', 0.021)]",New,New+1
PSBPZ,PS Business Parks Inc PRF PERPETUAL USD 25 Dp ShRp 1/1000 Ser Z,1,"[('PFFR', 0.02)]",New,New+1
NNNPF,National Retail Properties Inc F,1,"[('PFFR', 0.02)]",New,New+1
PSAPE,Public Storage Deposit Shs Repr 1/1000th % Cum Pfd Registered Shs of Benef,1,"[('PFFR', 0.02)]",New,New+1
VNOPM,Vornado Realty Trust 5.25 % Cum Perp Red Pfd Registered Shs Series -M-,1,"[('PFFR', 0.019)]",New,New+1
ADS,Alliance Data Systems Corp,1,"[('VNMC', 0.034)]",New,New+1
SKX,Skechers USA Inc,1,"[('VNMC', 0.03)]",New,New+1
NVT.L,nVent Electric PLC,1,"[('VNMC', 0.03)]",New,New+1
CR,Crane Co,1,"[('VNMC', 0.029)]",New,New+1
CSTM,Constellium SE A,1,"[('VNMC', 0.029)]",New,New+1
BFS,Saul Centers Inc,1,"[('XSHD', 0.039)]",New,New+1
FSP,Franklin Street Properties Corp,1,"[('XSHD', 0.03)]",New,New+1
