Symbol,NumAppearances
ASML,77
BNTX.DE,5
DAC.AX,2
LVMUY.PA,3
HIMX,1
SBSW.JO,1
LOGN,2
CX.MX,1
ERJ.SA,3
PKX.KS,2
2330.TW,62
09988,40
00700,70
005930.KS,44
01299.HK,33
03690,48
00388.HK,11
RELIANCE.B,24
INFY.BO,46
00939,39
BRK.B,89
L,1
ENB.TO,24
DD,5
CTVA,12
D,9
PFE,38
INGR,2
ABX.TO,5
CSCO,52
ENPH,26
RUN,15
FSLR,9
TSLA,138
PLUG,11
NEP,3
OLED,3
NPI.TO,3
AYI,3
BEP.UN,2
AAPL,216
MSFT,226
GOOG,121
AMZN,179
FB,178
UNH,55
V,74
SPGI,8
TGT,44
LRCX,13
CMCSA,29
CVS,17
JWN,1
PEP,25
SCHW,7
HSY,9
FDX,9
PZZA,2
EVH,1
MMSI,2
JHG,1
KKR,5
QSR.TO,1
INVA,1
IRWD,2
STX.SI,7
XRX,1
INTC,45
AMAT,17
RIO.L,31
ANTM,9
MU,12
GM,13
GOOGL,169
NVDA,166
JPM,119
ROG,86
NESN,80
VZ,66
WM,13
NEM,15
REGN,14
DTE.DE,12
LLY,30
MRK,28
MC.PA,54
NOVN,63
7203,53
LQD,6
MBB,2
SPIB,2
VCSH,4
LMBS,2
GOVT,2
JNK,5
PHB,4
HYG,7
CEMB,1
NTES,21
003690.KS,1
MTS.AX,1
02313,5
QCOM,28
TSM.TW,16
00823.HK,9
033780.KS,2
03968,5
2383.TW,1
BABA,39
HDB.BO,3
VALE.SA,9
NIO,29
JD,34
BIDU,23
PDD,11
AGG,2
NPN.JO,24
ATW,2
IAM,2
JMIA.DE,1
AAL.L,2
GTCO,2
CBKD,2
MTNN,2
IVN.TO,2
PWR,9
JNJ,104
ORCL,23
LOW,20
AGCO,2
UGI,9
LPX,8
GNRC,20
JLL,3
OSK,5
ORI,7
AFG,3
MOH,15
ARW,7
SWBI,7
HIBB,4
VSTO,7
BCC,1
ARCB,2
MODV,2
XPEL,4
JYNT,3
ESGR,1
600519,12
600036,6
601318,7
000858,9
601166,3
601012,9
601888,6
600030,1
600276,4
002594,5
EW,4
AZN.L,43
NOVO B,36
RO,1
BSX,1
BMY,15
ABBV,27
SYK,2
XHB,1
DBC,1
SMH,1
XLF,8
EFA,2
XLK,11
SKYY,1
DBA,1
KCE,1
RYT,1
MELI.SA,9
GLOB,2
CCU,3
GGAL,2
YPF,2
AGRO.SA,2
CENCOSUD,3
ANDINA-B,2
ARCO.SA,2
DESP.SA,2
09618,3
035420.KS,8
ROKU,22
MDB,7
CSGP,2
CVNA,4
DXCM,8
APPN,4
SQ,21
AZO,6
RNG,3
ADBE,60
SHOP.TO,22
ACN,20
CRM,26
CVA,1
MYRG,3
WIRE,1
CLH,2
EME,4
SPXC,1
FSS,1
MWA,1
ROLL,1
COST,25
PG,56
CL,10
MCD,16
MDLZ,11
MMC,8
SRET,1
RA,1
EDF,1
ETB,1
DIAX,1
BXMX,3
DMO,1
ETJ,1
IGD,2
TEI,1
MPLX,5
EPD,10
ET,9
WES,3
PAA,3
MMP,5
PSXP,4
DCP,6
SHLX,2
CQP,2
WMT,33
HD,59
TXN,31
PM,34
INTU,15
NS,1
BPMP,2
BISXX,5
XTSLA,49
XYL,5
AWK,10
WTRG,5
ECL,9
PNR,5
AOS,7
SEV.PA,2
SVT.L,2
UU..L,2
WMS,3
ALXN,7
WBT,1
WORK,4
MXIM,9
PYPL,55
SE.SI,16
Z,1
TWLO,16
COIN,6
PINS,12
TDOC,5
EXAS,3
PACB,7
CDNA,2
VRTX,10
IONS,2
FATE,5
TWST,3
CRSP,7
ZM,13
SPOT,8
U,5
KTOS,3
TRMB,6
IRDM,3
DDD,14
PATH,1
TWTR,16
GBTC,1
D05.SI,5
O39.SI,2
U11.SI,2
BBCA,5
PTT-R,2
1295,1
BBRI,3
Z74.SI,1
1155,1
SCC-R,2
000333,2
603259,2
002709,1
000799,1
603486,1
600089,1
000009,1
002340,1
002074,1
600460,1
300285,1
601233,1
300750,12
300760,6
600900,2
COG,3
MESU21,1
DLR,19
AEP,10
CARR,10
OTIS,5
BIO,4
AGNC,5
DOX,3
KR,16
NLOK,7
AJG,7
RSG,10
NVS,3
SONY,3
RY.TO,23
TOT.PA,3
BHP.AX,20
NVO,2
FITB,6
FOXA,3
NVR,6
WBA,9
VMC,3
GS,20
SIVB,9
CBRE,3
AER,1
RMG.L,4
SBRY.L,1
MNG.L,3
ASRNL,3
BWY.L,1
STJ.L,1
TATE.L,1
MKS.L,1
BEKB,1
SMSN.KS,3
02318,22
000660.KS,12
OVV,14
XEC,4
AN,4
TRGP,7
AA,3
SF,2
FL,2
R,1
AL,1
ABNB,7
UBER,4
BKNG,6
LYFT,4
MMYT.BO,2
TRN.L,1
TCOM,5
00696,1
EXPE,5
TRIP,1
FXFXX,2
AGPXX,21
01211,6
051910.KS,4
GLEN,7
MNOD,3
006400.KS,8
300014,2
CBA.AX,12
CSL.AX,7
WBC.AX,4
NAB.AX,3
ANZ.AX,3
WES.AX,9
MQG.AX,3
CERE,1
NTLA,19
EDIT,5
MGNX,3
TBIO,4
CLDX,1
NKTX,1
IMAB,2
MCRB,2
TD.TO,11
BNS.TO,6
CNR.TO,6
BAM.A.TO,5
BMO.TO,4
CP.TO,4
TRP.TO,18
SAP.DE,46
ULVR.L,51
SIE.DE,26
6758,19
6861,16
9984,12
6098,9
8306,10
7974,9
8035,13
4063,9
6594,8
AMC,22
DDOG,7
CZR,11
CRL,13
CTLT,3
POOL,6
TYL,2
MRNA,26
VNDA,3
LGND,1
HALO,2
ZLAB,7
PLD,22
EQIX,20
PSA,24
SPG,15
WELL,18
AVB,16
EQR,11
O,7
ARE,8
NVAX,10
BLDR,2
GME,20
CLF,4
TW,2
FRPT,7
BRKS,4
BLD,3
RDFN,2
RRR,1
BYD,1
VICI,6
CNTY,1
FLL,2
WH,2
HGV,1
GLPI,5
HLT,4
MAR,4
SGMS,6
ENT.L,4
PBH.AX,1
