Symbol,Name,NumAppearances,Holders,DiffEntries,DiffValue
FND,Floor & Decor Holdings Inc,2,"[('XHB', 0.038), ('PKB', 0.032)]",New,New
BKT,BlackRock Income Trust,1,"[('ALTY', 0.031)]",New,New
JLS,Nuveen Mortgage and Income Fund,1,"[('ALTY', 0.03)]",New,New
CLF2.L,Crude Oil Dec21,1,"[('DBC', 0.077)]",New,New
KTB,Kontoor Brands Inc,1,"[('DES', 0.014)]",New,New
CMP,Compass Minerals International Inc,1,"[('DES', 0.011)]",New,New
JUP.L,Jupiter Fund Management PLC,1,"[('DFE', 0.022)]",New,New
TGS,TGS ASA,1,"[('DFE', 0.02)]",New,New
CHEMM,ChemoMetec A/S,1,"[('DFE', 0.02)]",New,New
ANIM.MI,Anima Holding SpA,1,"[('DFE', 0.018)]",New,New
PIA.MI,Piaggio & C. SpA,1,"[('DFE', 0.018)]",New,New
DRX.L,Drax Group PLC,1,"[('DFE', 0.017)]",New,New
MONY.L,Moneysupermarket.com Group PLC,1,"[('DFE', 0.015)]",New,New
8570,AEON Financial Service Co Ltd,1,"[('DFJ', 0.005)]",New,New
8411,Mizuho Financial Group Inc,1,"[('DXJ', 0.022)]",New,New
FRTPC,Federal Realty Investment Trust Deposit Shs Repr 1/1000th 5 % Cum Perp Red,1,"[('EPRF', 0.027)]",New,New
ARESPA,Ares Management Corp A,1,"[('EPRF', 0.027)]",New,New
HFROPA,Highland Income Fund 5.375% PRF PERPETUAL USD 25 - Ser A,1,"[('EPRF', 0.026)]",New,New
AXSPE,Axis Capital Holdings Ltd E,1,"[('EPRF', 0.026)]",New,New
NNNPF,National Retail Properties Inc F,1,"[('EPRF', 0.026)]",New,New
FULTP,Fulton Financial Corp 5.125% PRF PERPETUAL USD 25 - Ser A,1,"[('EPRF', 0.026)]",New,New
WFCPO,Wells Fargo & Co Deposit Shs Repr 1/1000th 5 1/8 % Non-Cum Perp Pfd Shs -A-,1,"[('EPRF', 0.026)]",New,New
FCNCP,First Citizens BancShares Inc PRF PERPETUAL USD - Ser A,1,"[('EPRF', 0.026)]",New,New
ENVA,Enova International Inc,1,"[('FDM', 0.019)]",New,New
USCR,US Concrete Inc,1,"[('FDM', 0.018)]",New,New
WOW,WideOpenWest Inc,1,"[('FDM', 0.016)]",New,New
IESC,IES Holdings Inc,1,"[('FDM', 0.016)]",New,New
SUM,Summit Materials Inc A,1,"[('PKB', 0.032)]",New,New
VRTPX,Vanguard Real Estate II Index,1,"[('VNQ', 0.116)]",New,New
SLCA,US Silica Holdings Inc,1,"[('XES', 0.049)]",New,New
