EtfSymbol,EtfName,Holding0Symbol,Holding0Name,Holding0Weight,Holding1Symbol,Holding1Name,Holding1Weight,Holding2Symbol,Holding2Name,Holding2Weight,Holding3Symbol,Holding3Name,Holding3Weight,Holding4Symbol,Holding4Name,Holding4Weight,Holding5Symbol,Holding5Name,Holding5Weight,Holding6Symbol,Holding6Name,Holding6Weight,Holding7Symbol,Holding7Name,Holding7Weight,Holding8Symbol,Holding8Name,Holding8Weight,Holding9Symbol,Holding9Name,Holding9Weight,SumWeightsKnown,SumWeightsUnknown
SMH,VanEck Vectors Semiconductor ET,TSM.TW,Taiwan Semiconductor Manufacturing Co Ltd ADR,0.141,NVDA,NVIDIA Corp,0.1,ASML,ASML Holding NV ADR,0.0574,QCOM,Qualcomm Inc,0.0508,AMD,Advanced Micro Devices Inc,0.0499,INTC,Intel Corp,0.049000002,TXN,Texas Instruments Inc,0.048699997,AVGO,Broadcom Inc,0.048499998,MU,Micron Technology Inc,0.045900002,AMAT,Applied Materials Inc,0.045,0.636199999,0
SOXX,iShares Semiconductor ETF,NVDA,NVIDIA Corp,0.0908,AVGO,Broadcom Inc,0.0777,INTC,Intel Corp,0.071100004,QCOM,Qualcomm Inc,0.0579,TXN,Texas Instruments Inc,0.052199997,AMD,Advanced Micro Devices Inc,0.050100002,MRVL,Marvell Technology Inc,0.0437,KLAC,KLA Corp,0.041500002,ASML,ASML Holding NV ADR,0.040700004,ADI,Analog Devices Inc,0.0385,0.5642000089999999,0
QQQ,"Invesco QQQ Trust, Series 1",AAPL,Apple Inc,0.11,MSFT,Microsoft Corp,0.09819999,AMZN,Amazon.com Inc,0.083500005,FB,Facebook Inc A,0.0401,FB,Facebook Inc Class A,0.0401,TSLA,Tesla Inc,0.039,GOOG,Alphabet Inc Class C,0.039,NVDA,NVIDIA Corp,0.0365,GOOGL,Alphabet Inc A,0.0353,GOOGL,Alphabet Inc Class A,0.0353,0.556999995,0
FDIS,Fidelity MSCI Consumer Discreti,AMZN,Amazon.com Inc,0.22709998,TSLA,Tesla Inc,0.0921,HD,The Home Depot Inc,0.0634,NKE,Nike Inc B,0.0356,MCD,McDonald's Corp,0.0319,LOW,Lowe's Companies Inc,0.026500002,SBUX,Starbucks Corp,0.024300002,TGT,Target Corp,0.0226,BKNG,Booking Holdings Inc,0.0168,TJX,TJX Companies Inc,0.0152,0.555499984,0
SPY,SPDR S&P 500,AAPL,Apple Inc,0.059,MSFT,Microsoft Corp,0.055999998,AMZN,Amazon.com Inc,0.0405,FB,Facebook Inc A,0.0229,GOOGL,Alphabet Inc A,0.0202,GOOG,Alphabet Inc Class C,0.0196,BRK.B,Berkshire Hathaway Inc Class B,0.0145000005,TSLA,Tesla Inc,0.014400001,NVDA,NVIDIA Corp,0.0137,JPM,JPMorgan Chase & Co,0.0128999995,0.27369999899999997,0
