Symbol,Name,SumWeights
AMZN,"Amazon.com, Inc. - Common Stock",0.351099985
NVDA,NVIDIA Corporation - Common Stock,0.241
AAPL,Apple Inc. - Common Stock,0.16899999999999998
MSFT,Microsoft Corporation - Common Stock,0.154199988
TSLA,"Tesla, Inc.  - Common Stock",0.145500001
TSM.TW,Taiwan Semiconductor Manufacturing Co Ltd ADR,0.141
AVGO,Broadcom Inc. - Common Stock,0.126199998
INTC,Intel Corporation - Common Stock,0.120100006
QCOM,QUALCOMM Incorporated - Common Stock,0.10869999999999999
FB,"Facebook, Inc. - Class A Common Stock",0.1031
TXN,Texas Instruments Incorporated - Common Stock,0.10089999399999999
AMD,"Advanced Micro Devices, Inc. - Common Stock",0.100000002
ASML,ASML Holding N.V. - New York Registry Shares,0.09810000399999999
GOOGL,Alphabet Inc. - Class A Common Stock,0.09079999999999999
HD,"Home Depot, Inc. (The) Common Stock",0.0634
GOOG,Alphabet Inc. - Class C Capital Stock,0.0586
MU,"Micron Technology, Inc. - Common Stock",0.045900002
AMAT,"Applied Materials, Inc. - Common Stock",0.045
MRVL,"Marvell Technology, Inc. - Common Stock",0.0437
KLAC,KLA Corporation  - Common Stock,0.041500002
ADI,"Analog Devices, Inc. - Common Stock",0.0385
NKE,"Nike, Inc. Common Stock",0.0356
MCD,McDonald's Corporation Common Stock,0.0319
LOW,"Lowe's Companies, Inc. Common Stock",0.026500002
SBUX,Starbucks Corporation - Common Stock,0.024300002
TGT,Target Corporation Common Stock,0.0226
BKNG,Booking Holdings Inc. - Common Stock,0.0168
TJX,"TJX Companies, Inc. (The) Common Stock",0.0152
BRK.B,Berkshire Hathaway Inc. New Common Stock,0.0145000005
JPM,JP Morgan Chase & Co. Common Stock,0.0128999995
