Bigram,Name,NumAppearances,Holders
"('BRK.B', 'GOOGL')","('Berkshire Hathaway Inc Class B', 'Alphabet Inc A')",54,"[('DUSA', 0.188), ('TMFC', 0.112), ('DWLD', 0.095), ('MTUM', 0.072), ('FBCV', 0.07)]"
"('MSFT', 'V')","('Microsoft Corp', 'Visa Inc Class A')",53,"[('XLK', 0.243), ('VGT', 0.2), ('FTEC', 0.198), ('IXN', 0.195), ('IETC', 0.168)]"
"('FB', 'JPM')","('Facebook Inc A', 'JPMorgan Chase & Co')",53,"[('ESG', 0.07), ('XLG', 0.065), ('ESGG', 0.055), ('OEF', 0.053), ('EPS', 0.049)]"
"('JPM', 'TSLA')","('JPMorgan Chase & Co', 'Tesla Inc')",52,"[('MTUM', 0.102), ('ESG', 0.054), ('PALC', 0.049), ('XLG', 0.049), ('MMTM', 0.042)]"
"('AMZN', 'BRK.B')","('Amazon.com Inc', 'Berkshire Hathaway Inc Class B')",52,"[('DUSA', 0.158), ('TMFC', 0.114), ('XLG', 0.103), ('OEF', 0.079), ('SPXT', 0.076)]"
"('BRK.B', 'FB')","('Berkshire Hathaway Inc Class B', 'Facebook Inc A')",51,"[('DUSA', 0.13), ('DWLD', 0.092), ('TMFC', 0.075), ('XLG', 0.069), ('OEF', 0.055)]"
"('NOVN', 'ROG')","('Novartis AG', 'Roche Holding AG')",50,"[('EWL', 0.248), ('HDEF', 0.106), ('HDAW', 0.099), ('IXJ', 0.07), ('OEUR', 0.069)]"
"('JNJ', 'MSFT')","('Johnson & Johnson', 'Microsoft Corp')",48,"[('IOO', 0.141), ('USSG', 0.123), ('TMFC', 0.119), ('VSMV', 0.105), ('OUSA', 0.104)]"
"('JPM', 'NVDA')","('JPMorgan Chase & Co', 'NVIDIA Corp')",47,"[('PALC', 0.049), ('XLG', 0.047), ('ESGA', 0.039), ('MMTM', 0.038), ('OEF', 0.038)]"
"('NESN', 'NOVN')","('Nestle SA', 'Novartis AG')",47,"[('EWL', 0.305), ('HART', 0.096), ('SDGA', 0.087), ('OEUR', 0.068), ('DOL', 0.062)]"
"('AAPL', 'JNJ')","('Apple Inc', 'Johnson & Johnson')",47,"[('HLAL', 0.194), ('IOO', 0.149), ('TMFC', 0.134), ('QDYN', 0.116), ('QDEF', 0.112)]"
"('ASML', 'ROG')","('ASML Holding NV ADR', 'Roche Holding AG')",45,"[('IDHQ', 0.11), ('DNL', 0.085), ('IQLT', 0.085), ('OEUR', 0.081), ('RFEU', 0.074)]"
"('DAPXX', 'FTIXX')","('Dreyfus Government Secs Cash Mgmt Admin', 'Goldman Sachs FS Treasury Intms Instl')",45,"[('TZA', 1.187), ('SPXS', 1.088), ('CHAD', 1.066), ('TMV', 1.059), ('DUST', 1.058)]"
"('ASML', 'MC.PA')","('ASML Holding NV ADR', 'LVMH Moet Hennessy Louis Vuitton SE')",43,"[('FEZ', 0.14), ('IMTM', 0.102), ('HEDJ', 0.1), ('EZU', 0.094), ('HEZU', 0.094)]"
"('AAPL', 'V')","('Apple Inc', 'Visa Inc Class A')",42,"[('XLK', 0.254), ('FTEC', 0.229), ('VGT', 0.229), ('IXN', 0.206), ('TECL', 0.169)]"
"('BRK.B', 'TSLA')","('Berkshire Hathaway Inc Class B', 'Tesla Inc')",41,"[('MTUM', 0.101), ('TMFC', 0.064), ('XLG', 0.052), ('OEF', 0.043), ('SPXT', 0.04)]"
"('ASML', 'NESN')","('ASML Holding NV ADR', 'Nestle SA')",40,"[('IDHQ', 0.107), ('IQLT', 0.08), ('OEUR', 0.08), ('RFEU', 0.075), ('IEV', 0.063)]"
"('JNJ', 'JPM')","('Johnson & Johnson', 'JPMorgan Chase & Co')",40,"[('FLV', 0.097), ('DURA', 0.093), ('VIG', 0.074), ('WKLY', 0.074), ('IWX', 0.069)]"
"('BRK.B', 'NVDA')","('Berkshire Hathaway Inc Class B', 'NVIDIA Corp')",39,"[('TMFC', 0.054), ('XLG', 0.05), ('OEF', 0.041), ('FQAL', 0.039), ('FDMO', 0.038)]"
"('ASML', 'NOVN')","('ASML Holding NV ADR', 'Novartis AG')",37,"[('RFEU', 0.062), ('OEUR', 0.061), ('IEV', 0.05), ('RFDI', 0.047), ('BBEU', 0.046)]"
"('GOOGL', 'JNJ')","('Alphabet Inc A', 'Johnson & Johnson')",37,"[('HART', 0.105), ('TMFC', 0.102), ('XOUT', 0.075), ('IOO', 0.068), ('ESG', 0.064)]"
"('MC.PA', 'ROG')","('LVMH Moet Hennessy Louis Vuitton SE', 'Roche Holding AG')",36,"[('IQDG', 0.088), ('IHDG', 0.085), ('OEUR', 0.075), ('EUDG', 0.074), ('RFEU', 0.049)]"
"('BAC', 'JPM')","('Bank of America Corp', 'JPMorgan Chase & Co')",36,"[('IYG', 0.191), ('XLF', 0.19), ('KBWB', 0.163), ('VFH', 0.159), ('FNCL', 0.158)]"
"('GOOGL', 'V')","('Alphabet Inc A', 'Visa Inc Class A')",35,"[('TMFC', 0.107), ('JOYY', 0.103), ('FDG', 0.09), ('KVLE', 0.079), ('IGM', 0.073)]"
"('ROG', 'ULVR.L')","('Roche Holding AG', 'Unilever PLC')",35,"[('HDEF', 0.103), ('IQDG', 0.091), ('IHDG', 0.089), ('HDAW', 0.088), ('IDHQ', 0.078)]"
"('MC.PA', 'NESN')","('LVMH Moet Hennessy Louis Vuitton SE', 'Nestle SA')",34,"[('OEUR', 0.074), ('EUDG', 0.067), ('IEV', 0.053), ('BBEU', 0.051), ('DBEU', 0.05)]"
"('ADBE', 'MSFT')","('Adobe Inc', 'Microsoft Corp')",34,"[('XLK', 0.232), ('VGT', 0.196), ('IYW', 0.195), ('FTEC', 0.188), ('IXN', 0.186)]"
"('AAPL', 'ADBE')","('Apple Inc', 'Adobe Inc')",34,"[('XLK', 0.243), ('VGT', 0.226), ('FTEC', 0.219), ('IYW', 0.204), ('IXN', 0.197)]"
"('MC.PA', 'NOVN')","('LVMH Moet Hennessy Louis Vuitton SE', 'Novartis AG')",33,"[('OEUR', 0.055), ('IEV', 0.04), ('BBEU', 0.039), ('DBEU', 0.037), ('RFEU', 0.037)]"
"('ASML', 'SAP.DE')","('ASML Holding NV ADR', 'SAP SE')",33,"[('FEZ', 0.125), ('IDHQ', 0.087), ('HEZU', 0.086), ('EZU', 0.082), ('DBEZ', 0.066)]"
"('NVDA', 'V')","('NVIDIA Corp', 'Visa Inc Class A')",33,"[('XLK', 0.089), ('VEGN', 0.084), ('KOIN', 0.083), ('LRGE', 0.08), ('FTEC', 0.076)]"
"('JNJ', 'UNH')","('Johnson & Johnson', 'UnitedHealth Group Inc')",33,"[('XLV', 0.172), ('IEHS', 0.158), ('IYH', 0.154), ('FHLC', 0.137), ('VHT', 0.136)]"
"('00700', '09988')","('Tencent Holdings Ltd', 'Alibaba Group Holding Ltd Ordinary Shares')",32,"[('MCHI', 0.265), ('AIA', 0.229), ('KALL', 0.187), ('CXSE', 0.183), ('EMSG', 0.178)]"
"('00700', '03690')","('Tencent Holdings Ltd', 'Meituan')",32,"[('MCHI', 0.179), ('KWEB', 0.176), ('CXSE', 0.172), ('GXC', 0.172), ('FDNI', 0.164)]"
"('AMZN', 'V')","('Amazon.com Inc', 'Visa Inc Class A')",32,"[('LRGE', 0.13), ('TMFC', 0.109), ('FDG', 0.108), ('IGM', 0.108), ('IWY', 0.105)]"
"('MSFT', 'PYPL')","('Microsoft Corp', 'PayPal Holdings Inc')",32,"[('XLK', 0.238), ('VGT', 0.197), ('FTEC', 0.192), ('IXN', 0.188), ('ESGY', 0.172)]"
"('ADBE', 'NVDA')","('Adobe Inc', 'NVIDIA Corp')",32,"[('PWB', 0.082), ('SPQQ', 0.079), ('XLK', 0.078), ('PGRO', 0.077), ('IYW', 0.071)]"
"('00700', '2330.TW')","('Tencent Holdings Ltd', 'Taiwan Semiconductor Manufacturing Co Ltd')",31,"[('AIA', 0.24), ('EMSG', 0.198), ('EEMO', 0.164), ('RFEM', 0.127), ('SCHE', 0.126)]"
"('JNJ', 'PG')","('Johnson & Johnson', 'Procter & Gamble Co')",31,"[('HDV', 0.13), ('DURA', 0.091), ('OUSA', 0.086), ('DGRW', 0.078), ('PWV', 0.069)]"
"('NVDA', 'PYPL')","('NVIDIA Corp', 'PayPal Holdings Inc')",31,"[('SPMO', 0.119), ('VEGN', 0.086), ('BLOK', 0.084), ('KOIN', 0.084), ('XLK', 0.084)]"
"('JNJ', 'PFE')","('Johnson & Johnson', 'Pfizer Inc')",31,"[('IHE', 0.418), ('IEIH', 0.158), ('XLV', 0.138), ('IYH', 0.124), ('VHT', 0.115)]"
"('FB', 'JNJ')","('Facebook Inc A', 'Johnson & Johnson')",31,"[('QUAL', 0.079), ('ESG', 0.068), ('TMFC', 0.065), ('ESGG', 0.06), ('WOMN', 0.051)]"
"('AAPL', 'PYPL')","('Apple Inc', 'PayPal Holdings Inc')",31,"[('XLK', 0.249), ('VGT', 0.226), ('FTEC', 0.223), ('IXN', 0.199), ('TECL', 0.165)]"
"('FB', 'V')","('Facebook Inc A', 'Visa Inc Class A')",29,"[('LRGE', 0.112), ('JOYY', 0.1), ('IGM', 0.088), ('FDG', 0.081), ('IETC', 0.079)]"
"('NESN', 'TM')","('Nestle SA', 'Toyota Motor Corp ADR')",29,"[('FLQH', 0.042), ('IQSI', 0.042), ('FIVA', 0.041), ('EFAX', 0.034), ('BBIN', 0.033)]"
"('ROG', 'TM')","('Roche Holding AG', 'Toyota Motor Corp ADR')",29,"[('FLQH', 0.043), ('IVLU', 0.039), ('IQSI', 0.037), ('FIVA', 0.036), ('EFAX', 0.029)]"
"('MC.PA', 'SAP.DE')","('LVMH Moet Hennessy Louis Vuitton SE', 'SAP SE')",29,"[('FEZ', 0.102), ('IQDG', 0.082), ('IHDG', 0.08), ('EZU', 0.065), ('EURZ', 0.063)]"
"('ASML', 'ULVR.L')","('ASML Holding NV ADR', 'Unilever PLC')",29,"[('HEDJ', 0.121), ('DNL', 0.089), ('IDHQ', 0.086), ('IHDG', 0.082), ('IQDG', 0.082)]"
"('AMZN', 'PYPL')","('Amazon.com Inc', 'PayPal Holdings Inc')",29,"[('PNQI', 0.163), ('FDN', 0.147), ('SPMO', 0.137), ('ESGY', 0.116), ('PGRO', 0.113)]"
"('MSFT', 'UNH')","('Microsoft Corp', 'UnitedHealth Group Inc')",28,"[('DIA', 0.134), ('SCHG', 0.129), ('CACG', 0.092), ('EFIV', 0.092), ('IQSU', 0.09)]"
"('NOVO B', 'ROG')","('Novo Nordisk A/S B', 'Roche Holding AG')",28,"[('OEUR', 0.083), ('IDHQ', 0.082), ('DNL', 0.08), ('IQLT', 0.064), ('DIVS', 0.061)]"
"('NESN', 'ULVR.L')","('Nestle SA', 'Unilever PLC')",28,"[('KXI', 0.131), ('IDHQ', 0.075), ('OEUR', 0.073), ('EUDG', 0.064), ('IQLT', 0.049)]"
"('ASML', 'AZN.L')","('ASML Holding NV ADR', 'AstraZeneca PLC ADR')",28,"[('IDHQ', 0.084), ('EASG', 0.051), ('IEV', 0.045), ('BBEU', 0.04), ('IEUR', 0.04)]"
"('ROG', 'SAP.DE')","('Roche Holding AG', 'SAP SE')",28,"[('IDHQ', 0.08), ('IQDG', 0.074), ('OEUR', 0.073), ('IHDG', 0.072), ('EASG', 0.047)]"
"('BAC', 'BRK.B')","('Bank of America Corp', 'Berkshire Hathaway Inc Class B')",28,"[('XLF', 0.204), ('FAS', 0.141), ('VFH', 0.14), ('FNCL', 0.139), ('IYF', 0.117)]"
"('GOOGL', 'PYPL')","('Alphabet Inc A', 'PayPal Holdings Inc')",28,"[('PNQI', 0.172), ('PLAT', 0.127), ('ESGY', 0.114), ('FDN', 0.109), ('PGRO', 0.105)]"
"('2330.TW', 'INFY.BO')","('Taiwan Semiconductor Manufacturing Co Ltd', 'Infosys Ltd')",27,"[('XCEM', 0.126), ('KEMX', 0.123), ('EMXC', 0.112), ('RFEM', 0.091), ('AAXJ', 0.084)]"
"('005930.KS', '2330.TW')","('Samsung Electronics Co Ltd', 'Taiwan Semiconductor Manufacturing Co Ltd')",27,"[('AIA', 0.233), ('KEMX', 0.173), ('EEMO', 0.172), ('XCEM', 0.171), ('EMXC', 0.162)]"
"('ASML', 'TM')","('ASML Holding NV ADR', 'Toyota Motor Corp ADR')",27,"[('FLQH', 0.044), ('IQSI', 0.04), ('CEFA', 0.036), ('DMRI', 0.031), ('EFA', 0.03)]"
"('NOVN', 'TM')","('Novartis AG', 'Toyota Motor Corp ADR')",27,"[('IVLU', 0.05), ('EFV', 0.046), ('FLQH', 0.042), ('FIVA', 0.033), ('BBIN', 0.025)]"
"('AMZN', 'JNJ')","('Amazon.com Inc', 'Johnson & Johnson')",27,"[('TMFC', 0.104), ('IOO', 0.102), ('VIRS', 0.096), ('XOUT', 0.084), ('ESG', 0.073)]"
"('AZN.L', 'ROG')","('AstraZeneca PLC ADR', 'Roche Holding AG')",27,"[('IDHQ', 0.077), ('EASG', 0.048), ('IEV', 0.041), ('BBEU', 0.038), ('DBEU', 0.037)]"
"('09988', '2330.TW')","('Alibaba Group Holding Ltd Ordinary Shares', 'Taiwan Semiconductor Manufacturing Co Ltd')",26,"[('AIA', 0.235), ('EMSG', 0.198), ('AAXJ', 0.126), ('EEMA', 0.124), ('SCHE', 0.119)]"
"('ADBE', 'FB')","('Adobe Inc', 'Facebook Inc A')",26,"[('PNQI', 0.135), ('AMOM', 0.129), ('SXQG', 0.106), ('LRGE', 0.099), ('SPQQ', 0.083)]"
"('AZN.L', 'NESN')","('AstraZeneca PLC ADR', 'Nestle SA')",26,"[('IDHQ', 0.074), ('IEV', 0.05), ('BBEU', 0.046), ('DBEU', 0.045), ('IEUR', 0.041)]"
"('NOVN', 'ULVR.L')","('Novartis AG', 'Unilever PLC')",26,"[('HDEF', 0.099), ('HDAW', 0.077), ('VWID', 0.063), ('OEUR', 0.054), ('DOL', 0.046)]"
"('HD', 'MSFT')","('The Home Depot Inc', 'Microsoft Corp')",26,"[('ESGY', 0.153), ('IWY', 0.142), ('USSG', 0.118), ('DIA', 0.117), ('DSI', 0.117)]"
"('00700', '00939')","('Tencent Holdings Ltd', 'China Construction Bank Corp Class H')",25,"[('MCHI', 0.156), ('GXC', 0.145), ('AIA', 0.138), ('KALL', 0.11), ('EMSG', 0.105)]"
"('MC.PA', 'TM')","('LVMH Moet Hennessy Louis Vuitton SE', 'Toyota Motor Corp ADR')",25,"[('RXI', 0.067), ('CEFA', 0.031), ('EFAX', 0.026), ('BBIN', 0.024), ('BKIE', 0.024)]"
"('NESN', 'SAP.DE')","('Nestle SA', 'SAP SE')",25,"[('IDHQ', 0.076), ('OEUR', 0.072), ('IEV', 0.048), ('BBEU', 0.046), ('DBEU', 0.044)]"
"('FB', 'PYPL')","('Facebook Inc A', 'PayPal Holdings Inc')",25,"[('PNQI', 0.169), ('FDN', 0.133), ('PLAT', 0.09), ('IGM', 0.082), ('WEBL', 0.082)]"
"('ASML', 'NOVO B')","('ASML Holding NV ADR', 'Novo Nordisk A/S B')",24,"[('DNL', 0.093), ('IDHQ', 0.09), ('OEUR', 0.075), ('IQLT', 0.072), ('RFEU', 0.062)]"
"('AZN.L', 'MC.PA')","('AstraZeneca PLC ADR', 'LVMH Moet Hennessy Louis Vuitton SE')",24,"[('IEV', 0.036), ('BBEU', 0.033), ('DBEU', 0.033), ('IEUR', 0.029), ('VGK', 0.029)]"
"('AZN.L', 'NOVN')","('AstraZeneca PLC ADR', 'Novartis AG')",24,"[('IEV', 0.037), ('BBEU', 0.034), ('DBEU', 0.031), ('IEUR', 0.029), ('SPEU', 0.029)]"
"('MA', 'MSFT')","('Mastercard Inc Class A', 'Microsoft Corp')",24,"[('XLK', 0.236), ('VGT', 0.195), ('FTEC', 0.192), ('IXN', 0.189), ('LCG', 0.174)]"
"('MA', 'V')","('Mastercard Inc Class A', 'Visa Inc Class A')",24,"[('IYG', 0.175), ('IPAY', 0.116), ('IYF', 0.108), ('PALC', 0.089), ('SPHQ', 0.083)]"
"('005930.KS', '00700')","('Samsung Electronics Co Ltd', 'Tencent Holdings Ltd')",23,"[('AIA', 0.227), ('EEMO', 0.163), ('BKEM', 0.109), ('XSOE', 0.106), ('EEMX', 0.099)]"
"('03690', '09988')","('Meituan', 'Alibaba Group Holding Ltd Ordinary Shares')",23,"[('CHIQ', 0.187), ('MCHI', 0.178), ('AIA', 0.149), ('EMSG', 0.12), ('KALL', 0.119)]"
"('00939', '03690')","('China Construction Bank Corp Class H', 'Meituan')",23,"[('GXC', 0.069), ('MCHI', 0.069), ('AIA', 0.058), ('EMSG', 0.046), ('CN', 0.045)]"
"('BRK.B', 'JNJ')","('Berkshire Hathaway Inc Class B', 'Johnson & Johnson')",23,"[('FLV', 0.102), ('IWX', 0.074), ('MGV', 0.069), ('USMC', 0.061), ('VTV', 0.056)]"
"('JNJ', 'VZ')","('Johnson & Johnson', 'Verizon Communications Inc')",23,"[('HDV', 0.136), ('DURA', 0.092), ('FLV', 0.091), ('DGRW', 0.084), ('OUSA', 0.082)]"
"('NESN', 'NOVO B')","('Nestle SA', 'Novo Nordisk A/S B')",23,"[('OEUR', 0.082), ('IDHQ', 0.079), ('DIVS', 0.06), ('IQLT', 0.058), ('RFEU', 0.054)]"
"('MC.PA', 'ULVR.L')","('LVMH Moet Hennessy Louis Vuitton SE', 'Unilever PLC')",23,"[('HEDJ', 0.101), ('IQDG', 0.099), ('IHDG', 0.098), ('OEUR', 0.059), ('EUDG', 0.053)]"
"('NOVN', 'SAP.DE')","('Novartis AG', 'SAP SE')",23,"[('OEUR', 0.053), ('IEV', 0.035), ('BBEU', 0.034), ('FIVA', 0.031), ('DBEU', 0.03)]"
"('AZN.L', 'SAP.DE')","('AstraZeneca PLC ADR', 'SAP SE')",23,"[('IDHQ', 0.054), ('EASG', 0.035), ('IEV', 0.031), ('BBEU', 0.028), ('DBEU', 0.027)]"
"('00700', 'JD')","('Tencent Holdings Ltd', 'JD.com Inc ADR')",23,"[('KWEB', 0.178), ('EWEB', 0.17), ('CXSE', 0.155), ('MCHI', 0.154), ('GXC', 0.144)]"
"('AMZN', 'HD')","('Amazon.com Inc', 'The Home Depot Inc')",23,"[('RTH', 0.319), ('XLY', 0.312), ('VCR', 0.291), ('FDIS', 0.29), ('IEDI', 0.24)]"
"('ADBE', 'GOOGL')","('Adobe Inc', 'Alphabet Inc A')",23,"[('PNQI', 0.139), ('ESGY', 0.102), ('PGRO', 0.102), ('SPQQ', 0.085), ('KVLE', 0.08)]"
"('AAPL', 'CSCO')","('Apple Inc', 'Cisco Systems Inc')",22,"[('XLK', 0.237), ('VGT', 0.22), ('FTEC', 0.214), ('IYW', 0.199), ('HLAL', 0.178)]"
"('AZN.L', 'ULVR.L')","('AstraZeneca PLC ADR', 'Unilever PLC')",22,"[('EWU', 0.13), ('HEWU', 0.13), ('IDHQ', 0.052), ('EASG', 0.035), ('IEV', 0.03)]"
"('SAP.DE', 'ULVR.L')","('SAP SE', 'Unilever PLC')",22,"[('IQDG', 0.085), ('IHDG', 0.084), ('OEUR', 0.058), ('IDHQ', 0.055), ('EASG', 0.034)]"
"('03690', 'JD')","('Meituan', 'JD.com Inc ADR')",22,"[('EWEB', 0.171), ('CHIQ', 0.168), ('KWEB', 0.142), ('EMQQ', 0.138), ('FDNI', 0.128)]"
"('ADBE', 'AMZN')","('Adobe Inc', 'Amazon.com Inc')",22,"[('PNQI', 0.129), ('LRGE', 0.117), ('PGRO', 0.11), ('QYLG', 0.106), ('ESGY', 0.105)]"
"('T', 'VZ')","('AT&T Inc', 'Verizon Communications Inc')",22,"[('IYZ', 0.255), ('FDL', 0.172), ('GBLO', 0.096), ('DURA', 0.09), ('XLC', 0.087)]"
"('JPM', 'PG')","('JPMorgan Chase & Co', 'Procter & Gamble Co')",22,"[('SPHQ', 0.092), ('DURA', 0.09), ('QDF', 0.066), ('VIG', 0.066), ('WKLY', 0.065)]"
"('AAPL', 'HD')","('Apple Inc', 'The Home Depot Inc')",22,"[('IWY', 0.15), ('IEDI', 0.127), ('IWF', 0.121), ('VONG', 0.118), ('QDEF', 0.112)]"
"('JNJ', 'NVDA')","('Johnson & Johnson', 'NVIDIA Corp')",22,"[('VIRS', 0.101), ('WOMN', 0.064), ('QUAL', 0.06), ('USSG', 0.048), ('TMFC', 0.044)]"
"('00700', 'INFY.BO')","('Tencent Holdings Ltd', 'Infosys Ltd')",21,"[('BKF', 0.099), ('GMF', 0.079), ('RFEM', 0.078), ('BKEM', 0.07), ('SCHE', 0.069)]"
"('00939', '09988')","('China Construction Bank Corp Class H', 'Alibaba Group Holding Ltd Ordinary Shares')",21,"[('MCHI', 0.155), ('AIA', 0.134), ('KALL', 0.115), ('EMSG', 0.105), ('CN', 0.101)]"
"('00939', '2330.TW')","('China Construction Bank Corp Class H', 'Taiwan Semiconductor Manufacturing Co Ltd')",21,"[('AIA', 0.144), ('EMSG', 0.124), ('RFEM', 0.086), ('AAXJ', 0.083), ('PBEE', 0.083)]"
"('AAPL', 'UNH')","('Apple Inc', 'UnitedHealth Group Inc')",21,"[('SCHG', 0.135), ('HART', 0.104), ('IQSU', 0.102), ('EFIV', 0.096), ('SNPE', 0.092)]"
"('CSCO', 'JNJ')","('Cisco Systems Inc', 'Johnson & Johnson')",21,"[('HDV', 0.116), ('FLV', 0.094), ('DURA', 0.082), ('OUSA', 0.08), ('DGRW', 0.073)]"
"('MSFT', 'PG')","('Microsoft Corp', 'Procter & Gamble Co')",21,"[('IOO', 0.135), ('USSG', 0.117), ('DSI', 0.116), ('SPHQ', 0.102), ('OUSA', 0.094)]"
"('FGTXX', 'FTIXX')","('Goldman Sachs FS Government Instl', 'Goldman Sachs FS Treasury Intms Instl')",21,"[('SOXS', 0.669), ('CLDS', 0.653), ('TECS', 0.594), ('SPXS', 0.544), ('TYO', 0.494)]"
