Bigram,Name,NumAppearances,Holders
"('AAPL', 'MSFT')","('Apple Inc', 'Microsoft Corp')",167,"[('XLK', 0.418), ('VGT', 0.372), ('FTEC', 0.36), ('IYW', 0.348), ('IXN', 0.338)]"
"('FB', 'GOOGL')","('Facebook Inc A', 'Alphabet Inc A')",133,"[('XLC', 0.352), ('IXP', 0.287), ('VOX', 0.282), ('FCOM', 0.281), ('FNGS', 0.2)]"
"('GOOGL', 'MSFT')","('Alphabet Inc A', 'Microsoft Corp')",133,"[('IYW', 0.22), ('PLAT', 0.204), ('ESGY', 0.196), ('IETC', 0.195), ('TMFC', 0.18)]"
"('AMZN', 'MSFT')","('Amazon.com Inc', 'Microsoft Corp')",133,"[('IETC', 0.204), ('IWY', 0.203), ('ESGY', 0.199), ('MGK', 0.198), ('IOO', 0.194)]"
"('AAPL', 'AMZN')","('Apple Inc', 'Amazon.com Inc')",130,"[('IEDI', 0.22), ('IWY', 0.212), ('MGK', 0.205), ('IOO', 0.201), ('QYLD', 0.201)]"
"('AAPL', 'GOOGL')","('Apple Inc', 'Alphabet Inc A')",128,"[('IYW', 0.229), ('PLAT', 0.204), ('FNGS', 0.2), ('TMFC', 0.194), ('IETC', 0.172)]"
"('AMZN', 'GOOGL')","('Amazon.com Inc', 'Alphabet Inc A')",122,"[('FNGS', 0.2), ('PLAT', 0.188), ('DUSA', 0.186), ('PNQI', 0.17), ('TMFC', 0.165)]"
"('AAPL', 'FB')","('Apple Inc', 'Facebook Inc A')",119,"[('IYW', 0.223), ('FNGS', 0.2), ('IETC', 0.179), ('IWY', 0.178), ('ROM', 0.175)]"
"('MSFT', 'NVDA')","('Microsoft Corp', 'NVIDIA Corp')",119,"[('XLK', 0.254), ('IYW', 0.215), ('VGT', 0.215), ('FTEC', 0.207), ('IXN', 0.201)]"
"('AAPL', 'NVDA')","('Apple Inc', 'NVIDIA Corp')",117,"[('XLK', 0.264), ('VGT', 0.245), ('FTEC', 0.237), ('IYW', 0.224), ('IXN', 0.211)]"
"('FB', 'MSFT')","('Facebook Inc A', 'Microsoft Corp')",115,"[('IYW', 0.214), ('IETC', 0.202), ('IWY', 0.17), ('ROM', 0.169), ('PLAT', 0.166)]"
"('AMZN', 'FB')","('Amazon.com Inc', 'Facebook Inc A')",115,"[('FNGS', 0.2), ('FDN', 0.173), ('PNQI', 0.166), ('LRGE', 0.154), ('PLAT', 0.15)]"
"('GOOGL', 'NVDA')","('Alphabet Inc A', 'NVIDIA Corp')",108,"[('FNGS', 0.2), ('WUGI', 0.12), ('FBCG', 0.115), ('TMFC', 0.105), ('PGRO', 0.104)]"
"('AMZN', 'NVDA')","('Amazon.com Inc', 'NVIDIA Corp')",97,"[('FNGS', 0.2), ('SPMO', 0.16), ('QYLD', 0.125), ('QYLG', 0.122), ('FBCG', 0.121)]"
"('FB', 'NVDA')","('Facebook Inc A', 'NVIDIA Corp')",96,"[('FNGS', 0.2), ('LRGE', 0.103), ('FBCG', 0.099), ('IETC', 0.095), ('IGM', 0.093)]"
"('GOOGL', 'TSLA')","('Alphabet Inc A', 'Tesla Inc')",93,"[('FNGS', 0.2), ('ARKQ', 0.152), ('FDG', 0.117), ('TMFC', 0.115), ('ESGY', 0.093)]"
"('NVDA', 'TSLA')","('NVIDIA Corp', 'Tesla Inc')",92,"[('FNGS', 0.2), ('SPMO', 0.152), ('SFYF', 0.106), ('VEGN', 0.09), ('MOTO', 0.085)]"
"('AMZN', 'TSLA')","('Amazon.com Inc', 'Tesla Inc')",92,"[('XLY', 0.368), ('VCR', 0.322), ('FDIS', 0.319), ('WANT', 0.226), ('FNGS', 0.2)]"
"('AAPL', 'TSLA')","('Apple Inc', 'Tesla Inc')",90,"[('HLAL', 0.201), ('FNGS', 0.2), ('SPMO', 0.171), ('IWY', 0.16), ('QYLD', 0.155)]"
"('MSFT', 'TSLA')","('Microsoft Corp', 'Tesla Inc')",89,"[('SPMO', 0.174), ('IWY', 0.152), ('ESGY', 0.151), ('MGK', 0.144), ('QYLD', 0.142)]"
"('FB', 'TSLA')","('Facebook Inc A', 'Tesla Inc')",80,"[('FNGS', 0.2), ('FDG', 0.107), ('QYLD', 0.082), ('QYLG', 0.08), ('QQQ', 0.079)]"
"('JPM', 'MSFT')","('JPMorgan Chase & Co', 'Microsoft Corp')",76,"[('IOO', 0.141), ('XLG', 0.13), ('OEF', 0.105), ('SPHQ', 0.103), ('ESGA', 0.097)]"
"('AAPL', 'JPM')","('Apple Inc', 'JPMorgan Chase & Co')",74,"[('IOO', 0.149), ('XLG', 0.136), ('QDYN', 0.117), ('QDF', 0.113), ('QDEF', 0.111)]"
"('BRK.B', 'JPM')","('Berkshire Hathaway Inc Class B', 'JPMorgan Chase & Co')",63,"[('XLF', 0.243), ('VFH', 0.171), ('FNCL', 0.17), ('FAS', 0.167), ('IYF', 0.143)]"
"('GOOGL', 'JPM')","('Alphabet Inc A', 'JPMorgan Chase & Co')",62,"[('SDGA', 0.086), ('KVLE', 0.085), ('MTUM', 0.073), ('IOO', 0.069), ('ESG', 0.067)]"
"('AMZN', 'JPM')","('Amazon.com Inc', 'JPMorgan Chase & Co')",60,"[('IOO', 0.102), ('XLG', 0.099), ('KVLE', 0.088), ('OEF', 0.076), ('ESG', 0.075)]"
"('AAPL', 'BRK.B')","('Apple Inc', 'Berkshire Hathaway Inc Class B')",56,"[('TMFC', 0.144), ('XLG', 0.139), ('OEF', 0.113), ('USMC', 0.092), ('IWL', 0.091)]"
"('NESN', 'ROG')","('Nestle SA', 'Roche Holding AG')",55,"[('EWL', 0.341), ('IDHQ', 0.1), ('OEUR', 0.088), ('EUDG', 0.084), ('IQLT', 0.072)]"
"('BRK.B', 'MSFT')","('Berkshire Hathaway Inc Class B', 'Microsoft Corp')",54,"[('XLG', 0.133), ('TMFC', 0.129), ('OEF', 0.107), ('IWL', 0.087), ('BKLC', 0.081)]"
