Bigram,Name,SumWeights,Holders,DiffEntries,DiffValue
"('TFDXX', 'TTWO')","('BlackRock Liquidity FedFund Instl', 'Take-Two Interactive Software Inc')",2.371,"[('HDGE', 2.371)]",New,New+2.371
"('BBY', 'TFDXX')","('Best Buy Co Inc', 'BlackRock Liquidity FedFund Instl')",2.36,"[('HDGE', 2.36)]",New,New+2.36
"('NOV', 'TFDXX')","('NOV Inc', 'BlackRock Liquidity FedFund Instl')",2.354,"[('HDGE', 2.354)]",New,New+2.354
"('DAN', 'TFDXX')","('Dana Inc', 'BlackRock Liquidity FedFund Instl')",2.353,"[('HDGE', 2.353)]",New,New+2.353
"('ROAD', 'TFDXX')","('Construction Partners Inc Class A', 'BlackRock Liquidity FedFund Instl')",2.352,"[('HDGE', 2.352)]",New,New+2.352
"('FXD', 'XRT')","('First Trust Cons. Discret. Alph', 'SPDR S&P Retail ETF')",0.741,"[('DUDE', 0.394), ('WIZ', 0.347)]",New,New+0.741
"('CLM2', 'CLZ1')","('Wti Crude 05/20/2022 (Clm2)', 'Wti Crude Future 11/19/2021 (Clz1)')",0.673,"[('OILK', 0.673)]",New,New+0.673
"('CLV1', 'CLZ1')","('Light Sweet Crude Oil Future Oct 21', 'Wti Crude Future 11/19/2021 (Clz1)')",0.666,"[('OILK', 0.666)]",New,New+0.666
"('CLM2', 'CLV1')","('Wti Crude 05/20/2022 (Clm2)', 'Light Sweet Crude Oil Future Oct 21')",0.661,"[('OILK', 0.661)]",New,New+0.661
"('ANET', 'CSCO')","('Arista Networks Inc', 'Cisco Systems Inc')",0.46199999999999997,"[('IYZ', 0.287), ('IGN', 0.175)]",New,New+0.462
"('CSCO', 'FFIV')","('Cisco Systems Inc', 'F5 Networks Inc')",0.455,"[('IYZ', 0.277), ('IGN', 0.178)]",New,New+0.455
"('HOLD', 'TTWO')","('AdvisorShares North Square McKe', 'Take-Two Interactive Software Inc')",0.419,"[('HDGE', 0.419)]",New,New+0.419
"('BBY', 'HOLD')","('Best Buy Co Inc', 'AdvisorShares North Square McKe')",0.408,"[('HDGE', 0.408)]",New,New+0.408
"('HOLD', 'NOV')","('AdvisorShares North Square McKe', 'NOV Inc')",0.402,"[('HDGE', 0.402)]",New,New+0.402
"('DAN', 'HOLD')","('Dana Inc', 'AdvisorShares North Square McKe')",0.401,"[('HDGE', 0.401)]",New,New+0.401
"('VFH', 'VGT')","('Vanguard Financials ETF', 'Vanguard Information Tech ETF')",0.4,"[('ARMR', 0.4)]",New,New+0.4
"('HOLD', 'ROAD')","('AdvisorShares North Square McKe', 'Construction Partners Inc Class A')",0.4,"[('HDGE', 0.4)]",New,New+0.4
"('JPST', 'PULS')","('JPMorgan Ultra-Short Income ETF', 'PGIM Ultra Short Bond ETF')",0.373,"[('VSPY', 0.373)]",New,New+0.373
"('KSU', 'UNP')","('Kansas City Southern', 'Union Pacific Corp')",0.37,"[('IYT', 0.21), ('TPOR', 0.16)]",New,New+0.37
"('SLB', 'WHD')","('Schlumberger Ltd', 'Cactus Inc Class A')",0.365,"[('OIH', 0.235), ('PXJ', 0.13)]",New,New+0.365
"('CRH', 'FLTR.L')","('CRH PLC', 'Flutter Entertainment PLC')",0.361,"[('EIRL', 0.361)]",New,New+0.361
"('NSC', 'UPS')","('Norfolk Southern Corp', 'United Parcel Service Inc Class B')",0.36,"[('IYT', 0.209), ('TPOR', 0.151)]",New,New+0.36
"('KSU', 'UPS')","('Kansas City Southern', 'United Parcel Service Inc Class B')",0.359,"[('IYT', 0.202), ('TPOR', 0.157)]",New,New+0.359
"('ICSH', 'JPST')","('BlackRock Ultra Short-Term Bond', 'JPMorgan Ultra-Short Income ETF')",0.358,"[('VSPY', 0.358)]",New,New+0.358
"('JMST', 'JPST')","('JPMorgan Ultra-Short Municipal ', 'JPMorgan Ultra-Short Income ETF')",0.358,"[('VSPY', 0.358)]",New,New+0.358
"('RTX', 'TXT')","('Raytheon Technologies Corp', 'Textron Inc')",0.357,"[('ITA', 0.24), ('PPA', 0.117)]",New,New+0.357
"('JAZZ', 'JNJ')","('Jazz Pharmaceuticals PLC', 'Johnson & Johnson')",0.356,"[('IHE', 0.266), ('XPH', 0.09)]",New,New+0.356
"('EWD', 'FXD')","('iShares Inc iShares MSCI Sweden', 'First Trust Cons. Discret. Alph')",0.355,"[('DUDE', 0.355)]",New,New+0.355
"('FXD', 'IJK')","('First Trust Cons. Discret. Alph', 'iShares S&P Mid-Cap 400 Growth ')",0.351,"[('DUDE', 0.351)]",New,New+0.351
"('FDIS', 'FXD')","('Fidelity MSCI Consumer Discreti', 'First Trust Cons. Discret. Alph')",0.35,"[('DUDE', 0.35)]",New,New+0.35
"('EWD', 'XRT')","('iShares Inc iShares MSCI Sweden', 'SPDR S&P Retail ETF')",0.35,"[('DUDE', 0.35)]",New,New+0.35
"('IVV', 'XRT')","('iShares Core S&P 500 ETF', 'SPDR S&P Retail ETF')",0.348,"[('WIZ', 0.348)]",New,New+0.348
"('FXD', 'RCD')","('First Trust Cons. Discret. Alph', 'Invesco S&P 500 Equal Weight Co')",0.346,"[('DUDE', 0.346)]",New,New+0.346
"('IJK', 'XRT')","('iShares S&P Mid-Cap 400 Growth ', 'SPDR S&P Retail ETF')",0.346,"[('DUDE', 0.346)]",New,New+0.346
"('FDIS', 'XRT')","('Fidelity MSCI Consumer Discreti', 'SPDR S&P Retail ETF')",0.345,"[('DUDE', 0.345)]",New,New+0.345
"('IBE.BC', 'SAN.BC')","('Iberdrola SA', 'Banco Santander SA')",0.344,"[('EWP', 0.344)]",New,New+0.344
"('RCD', 'XRT')","('Invesco S&P 500 Equal Weight Co', 'SPDR S&P Retail ETF')",0.341,"[('DUDE', 0.341)]",New,New+0.341
"('BA', 'TXT')","('Boeing Co', 'Textron Inc')",0.341,"[('ITA', 0.229), ('PPA', 0.112)]",New,New+0.341
"('CSCO', 'GRMN')","('Cisco Systems Inc', 'Garmin Ltd')",0.33999999999999997,"[('IYZ', 0.296), ('FTCS', 0.044)]",New,New+0.34
"('PFE', 'ZTS')","('Pfizer Inc', 'Zoetis Inc Class A')",0.33299999999999996,"[('IHE', 0.241), ('XPH', 0.092)]",New,New+0.333
"('CTLT', 'PFE')","('Catalent Inc', 'Pfizer Inc')",0.33099999999999996,"[('IHE', 0.24), ('XPH', 0.091)]",New,New+0.331
"('ELAN', 'PFE')","('Elanco Animal Health Inc', 'Pfizer Inc')",0.32999999999999996,"[('IHE', 0.238), ('XPH', 0.092)]",New,New+0.33
"('CI', 'UNH')","('Cigna Corp', 'UnitedHealth Group Inc')",0.321,"[('IHF', 0.27), ('FBCV', 0.051)]",New,New+0.321
"('JAZZ', 'PFE')","('Jazz Pharmaceuticals PLC', 'Pfizer Inc')",0.319,"[('IHE', 0.23), ('XPH', 0.089)]",New,New+0.319
"('CRH', 'KRZ.IR')","('CRH PLC', 'Kerry Group PLC Class A')",0.313,"[('EIRL', 0.313)]",New,New+0.313
"('VAW', 'VGT')","('Vanguard Materials ETF', 'Vanguard Information Tech ETF')",0.312,"[('ARMR', 0.312)]",New,New+0.312
"('VGT', 'VPU')","('Vanguard Information Tech ETF', 'Vanguard Utilities ETF')",0.312,"[('ARMR', 0.312)]",New,New+0.312
"('ABI', 'KBC')","('Anheuser-Busch InBev SA/NV', 'KBC Group SA/NV')",0.308,"[('EWK', 0.308)]",New,New+0.308
"('EWD', 'IJK')","('iShares Inc iShares MSCI Sweden', 'iShares S&P Mid-Cap 400 Growth ')",0.306,"[('DUDE', 0.306)]",New,New+0.306
"('FPE', 'FTSL')","('First Trust Preferred Securitie', 'First Trust Senior Loan Fund ET')",0.306,"[('FDIV', 0.306)]",New,New+0.306
"('HAL', 'WHD')","('Halliburton Co', 'Cactus Inc Class A')",0.306,"[('OIH', 0.175), ('PXJ', 0.131)]",New,New+0.306
"('GSY', 'JPST')","('Invesco Ultra Short Duration ET', 'JPMorgan Ultra-Short Income ETF')",0.306,"[('VSPY', 0.306)]",New,New+0.306
"('EWD', 'FDIS')","('iShares Inc iShares MSCI Sweden', 'Fidelity MSCI Consumer Discreti')",0.305,"[('DUDE', 0.305)]",New,New+0.305
"('ASML', 'INGA')","('ASML Holding NV ADR', 'ING Groep NV')",0.303,"[('EWN', 0.303)]",New,New+0.303
"('FXD', 'IVV')","('First Trust Cons. Discret. Alph', 'iShares Core S&P 500 ETF')",0.303,"[('WIZ', 0.303)]",New,New+0.303
"('GRMN', 'VZ')","('Garmin Ltd', 'Verizon Communications Inc')",0.30200000000000005,"[('IYZ', 0.267), ('AUSF', 0.035)]",New,New+0.302
"('FDIS', 'IJK')","('Fidelity MSCI Consumer Discreti', 'iShares S&P Mid-Cap 400 Growth ')",0.301,"[('DUDE', 0.301)]",New,New+0.301
"('EWD', 'RCD')","('iShares Inc iShares MSCI Sweden', 'Invesco S&P 500 Equal Weight Co')",0.301,"[('DUDE', 0.301)]",New,New+0.301
"('ASML', 'PRX')","('ASML Holding NV ADR', 'Prosus NV Ordinary Shares - Class N')",0.301,"[('EWN', 0.301)]",New,New+0.301
"('ICSH', 'PULS')","('BlackRock Ultra Short-Term Bond', 'PGIM Ultra Short Bond ETF')",0.301,"[('VSPY', 0.301)]",New,New+0.301
"('JMST', 'PULS')","('JPMorgan Ultra-Short Municipal ', 'PGIM Ultra Short Bond ETF')",0.301,"[('VSPY', 0.301)]",New,New+0.301
"('GSST', 'JPST')","('Goldman Sachs Access Ultra Shor', 'JPMorgan Ultra-Short Income ETF')",0.3,"[('VSPY', 0.3)]",New,New+0.3
"('IJK', 'RCD')","('iShares S&P Mid-Cap 400 Growth ', 'Invesco S&P 500 Equal Weight Co')",0.298,"[('DUDE', 0.298)]",New,New+0.298
"('ASML', 'PHIA')","('ASML Holding NV ADR', 'Koninklijke Philips NV')",0.298,"[('EWN', 0.298)]",New,New+0.298
