Symbol,Name,SumWeights,Holders,DiffEntries,DiffValue
WBSN21.L,WTI Crude Future June 21,0.417,"[('UCO', 0.417)]",New,New+0.417
XRT,SPDR S&P Retail ETF,0.391,"[('WIZ', 0.196), ('DUDE', 0.195)]",New,New+0.391
CLZ1,Wti Crude Future 11/19/2021 (Clz1),0.339,"[('OILK', 0.339)]",New,New+0.339
CLM2,Wti Crude 05/20/2022 (Clm2),0.334,"[('OILK', 0.334)]",New,New+0.334
CLV1,Light Sweet Crude Oil Future Oct 21,0.327,"[('OILK', 0.327)]",New,New+0.327
WCOG.IR,WisdomTree Enhanced Cmdty ETF USD,0.22,"[('GCC', 0.22)]",New,New+0.22
ABI,Anheuser-Busch InBev SA/NV,0.217,"[('EWK', 0.217)]",New,New+0.217
JPST,JPMorgan Ultra-Short Income ETF,0.215,"[('VSPY', 0.215)]",New,New+0.215
PULS,PGIM Ultra Short Bond ETF,0.158,"[('VSPY', 0.158)]",New,New+0.158
EWD,iShares Inc iShares MSCI Sweden,0.155,"[('DUDE', 0.155)]",New,New+0.155
IJK,iShares S&P Mid-Cap 400 Growth ,0.151,"[('DUDE', 0.151)]",New,New+0.151
FDIS,Fidelity MSCI Consumer Discreti,0.15,"[('DUDE', 0.15)]",New,New+0.15
TAN,Invesco Solar ETF,0.143,"[('TMAT', 0.143)]",New,New+0.143
JMST,JPMorgan Ultra-Short Municipal ,0.143,"[('VSPY', 0.143)]",New,New+0.143
ICSH,BlackRock Ultra Short-Term Bond,0.143,"[('VSPY', 0.143)]",New,New+0.143
FFIV,F5 Networks Inc,0.127,"[('IGN', 0.092), ('IYZ', 0.035)]",New,New+0.127
VFH,Vanguard Financials ETF,0.114,"[('ARMR', 0.114)]",New,New+0.114
KRZ.IR,Kerry Group PLC Class A,0.103,"[('EIRL', 0.103)]",New,New+0.103
ZTZ21,2 Year Treasury Note Future Dec 21,0.102,"[('LDUR', 0.102)]",New,New+0.102
WHD,Cactus Inc Class A,0.101,"[('PXJ', 0.059), ('OIH', 0.042)]",New,New+0.101
KOMP,SPDR S&P Kensho New Economies C,0.101,"[('TMAT', 0.101)]",New,New+0.101
ARKF,ARK Fintech Innovation ETF,0.1,"[('TMAT', 0.1)]",New,New+0.1
DON,WisdomTree U.S. MidCap Dividend,0.1,"[('WIZ', 0.1)]",New,New+0.1
XSVM,Invesco S&P SmallCap Value with,0.098,"[('WIZ', 0.098)]",New,New+0.098
PEY,Invesco High Yield Equity Divid,0.098,"[('WIZ', 0.098)]",New,New+0.098
QGEN,Qiagen NV,0.093,"[('PBE', 0.056), ('FBT', 0.037)]",New,New+0.093
PAWZ,ProShares Pet Care ETF,0.093,"[('TMAT', 0.093)]",New,New+0.093
KBC,KBC Group SA/NV,0.091,"[('EWK', 0.091)]",New,New+0.091
ARKG,ARK Genomic Revolution ETF,0.091,"[('TMAT', 0.091)]",New,New+0.091
GSY,Invesco Ultra Short Duration ET,0.091,"[('VSPY', 0.091)]",New,New+0.091
ZFZ21,5 Year Treasury Note Future Dec 21,0.086,"[('LDUR', 0.086)]",New,New+0.086
GSST,Goldman Sachs Access Ultra Shor,0.085,"[('VSPY', 0.085)]",New,New+0.085
PJUL,Innovator U.S. Equity Power Buf,0.083,"[('BUFF', 0.083)]",New,New+0.083
MMEU21.TW,MSCI Emerging Markets Index Future Sept 21,0.083,"[('GSEE', 0.083)]",New,New+0.083
ONLN,ProShares Online Retail ETF,0.081,"[('TMAT', 0.081)]",New,New+0.081
ESPO,VanEck Video Gaming and eSports,0.075,"[('TMAT', 0.075)]",New,New+0.075
FND,Floor & Decor Holdings Inc Class A,0.074,"[('XHB', 0.038), ('PKB', 0.036)]",New,New+0.074
GNOG,Golden Nugget Online Gaming Inc Ordinary Shares - Class A,0.073,"[('BETZ', 0.046), ('MRGR', 0.027)]",New,New+0.073
ICLR.IR,Icon PLC,0.068,"[('EIRL', 0.042), ('BMED', 0.026)]",New,New+0.068
ARGX,argenx SE,0.067,"[('EWK', 0.067)]",New,New+0.067
1023,CIMB Group Holdings Bhd,0.067,"[('EWM', 0.067)]",New,New+0.067
2330,Taiwan Semiconductor Manufacturing Co Ltd,0.066,"[('GSEE', 0.066)]",New,New+0.066
HIG,The Hartford Financial Services Group Inc,0.065,"[('IAK', 0.035), ('RPV', 0.015), ('SPVM', 0.015)]",New,New+0.065
SPSC,SPS Commerce Inc,0.065,"[('PSCT', 0.033), ('XSMO', 0.019), ('SIXS', 0.013)]",New,New+0.065
UCB,UCB SA,0.064,"[('EWK', 0.064)]",New,New+0.064
ZNZ21,10 Year Treasury Note Future Dec 21,0.064,"[('LDUR', 0.043), ('PST', 0.021)]",New,New+0.064
ITUB.SA,Itau Unibanco Holding SA ADR,0.062,"[('ILF', 0.062)]",New,New+0.062
RAVI,FlexShares Ready Access Variabl,0.061,"[('VSPY', 0.061)]",New,New+0.061
CIO.TO,City Office REIT Inc,0.06,"[('KBWY', 0.047), ('DEEP', 0.013)]",New,New+0.06
KSTR,KraneShares SSE STAR Market 50 ,0.058,"[('TMAT', 0.058)]",New,New+0.058
01347,Hua Hong Semiconductor Ltd Unitary 144A/Reg S,0.055,"[('KEJI', 0.032), ('CHIK', 0.023)]",New,New+0.055
UNIT,Uniti Group Inc,0.054,"[('KBWY', 0.044), ('TADS', 0.01)]",New,New+0.054
BBWI,Bath & Body Works Inc,0.053000000000000005,"[('PEZ', 0.032), ('GVIP', 0.021)]",New,New+0.053
SCR.TO,Score Media and Gaming Inc A,0.051,"[('BETZ', 0.051)]",New,New+0.051
5347,Tenaga Nasional Bhd,0.051,"[('EWM', 0.051)]",New,New+0.051
REM,iShares Trust iShares Mortgage ,0.051,"[('INKM', 0.051)]",New,New+0.051
TS.MI,Tenaris SA ADR,0.051,"[('OIH', 0.051)]",New,New+0.051
BBOX.L,Tritax Big Box Ord,0.05,"[('FKU', 0.025), ('FEP', 0.01), ('ISVL', 0.008), ('FDT', 0.007)]",New,New+0.05
SPAB,SPDR Portfolio Aggregate Bond E,0.05,"[('GAL', 0.05)]",New,New+0.05
BBD.SA,Bank Bradesco SA ADR,0.05,"[('ILF', 0.05)]",New,New+0.05
LCV21,Live Cattle Future Oct 21,0.049,"[('DBA', 0.049)]",New,New+0.049
7113,Top Glove Corp Bhd,0.049,"[('EWM', 0.049)]",New,New+0.049
AFINP,American Finance Trust Inc Series A,0.049,"[('PFFA', 0.049)]",New,New+0.049
SLCA,US Silica Holdings Inc,0.049,"[('XES', 0.049)]",New,New+0.049
FER.BC,Ferrovial SA,0.048,"[('EWP', 0.048)]",New,New+0.048
BANB,Bachem Holding AG,0.048,"[('FSZ', 0.048)]",New,New+0.048
CENX,Century Aluminum Co,0.047,"[('XME', 0.047)]",New,New+0.047
GBLB,Groupe Bruxelles Lambert SA,0.046,"[('EWK', 0.046)]",New,New+0.046
ANDR,Andritz AG,0.046,"[('EWO', 0.046)]",New,New+0.046
HEV21,Lean Hog Future Oct 21,0.045,"[('DBA', 0.045)]",New,New+0.045
5183,Petronas Chemicals Group Bhd,0.045,"[('EWM', 0.045)]",New,New+0.045
00700.KS,Tencent Holdings Ltd,0.045,"[('GSEE', 0.045)]",New,New+0.045
HOLM B,Holmen AB B,0.045,"[('WOOD', 0.045)]",New,New+0.045
AMS.BC,Amadeus IT Group SA A,0.044,"[('EWP', 0.044)]",New,New+0.044
A17U.SI,Ascendas Real Estate Investment Trust,0.044,"[('EWS', 0.044)]",New,New+0.044
600745,Wingtech Technology Co Ltd,0.044,"[('KFVG', 0.044)]",New,New+0.044
SOLB,Solvay SA,0.043,"[('EWK', 0.043)]",New,New+0.043
