Symbol,Name,NumAppearances,Holders,DiffEntries,DiffValue
BBOX.L,Tritax Big Box Ord,4,"[('FKU', 0.025), ('FEP', 0.01), ('ISVL', 0.008), ('FDT', 0.007)]",New,New+4
EXLS,ExlService Holdings Inc,3,"[('PSCT', 0.028), ('CSA', 0.004), ('TPSC', 0.004)]",New,New+3
HIG,The Hartford Financial Services Group Inc,3,"[('IAK', 0.035), ('RPV', 0.015), ('SPVM', 0.015)]",New,New+3
TTEK,Tetra Tech Inc,3,"[('IWO', 0.005), ('ISCG', 0.004), ('IWM', 0.003)]",New,New+3
BJ,BJ's Wholesale Club Holdings Inc,3,"[('XMVM', 0.019), ('RWK', 0.014), ('IWM', 0.003)]",New,New+3
SPSC,SPS Commerce Inc,3,"[('PSCT', 0.033), ('XSMO', 0.019), ('SIXS', 0.013)]",New,New+3
GNOG,Golden Nugget Online Gaming Inc Ordinary Shares - Class A,2,"[('BETZ', 0.046), ('MRGR', 0.027)]",New,New+2
ICLR.IR,Icon PLC,2,"[('EIRL', 0.042), ('BMED', 0.026)]",New,New+2
01347,Hua Hong Semiconductor Ltd Unitary 144A/Reg S,2,"[('KEJI', 0.032), ('CHIK', 0.023)]",New,New+2
CIO.TO,City Office REIT Inc,2,"[('KBWY', 0.047), ('DEEP', 0.013)]",New,New+2
PLUS,ePlus Inc,2,"[('FGD', 0.014), ('DEEP', 0.012)]",New,New+2
CDAY,Ceridian HCM Holding Inc,2,"[('DMRM', 0.006), ('MDY', 0.006)]",New,New+2
XRT,SPDR S&P Retail ETF,2,"[('WIZ', 0.196), ('DUDE', 0.195)]",New,New+2
3711.TW,ASE Technology Holding Co Ltd,2,"[('EWT', 0.016), ('FEM', 0.013)]",New,New+2
QGEN,Qiagen NV,2,"[('PBE', 0.056), ('FBT', 0.037)]",New,New+2
ASIX,AdvanSix Inc,2,"[('FDM', 0.009), ('SVAL', 0.007)]",New,New+2
HINDALCO.B,Hindalco Industries Ltd,2,"[('NFTY', 0.023), ('FEM', 0.015)]",New,New+2
DIE,D'Ieteren Group,2,"[('FEUZ', 0.013), ('FEP', 0.01)]",New,New+2
ERF.PA,Eurofins Scientific SE,2,"[('FICS', 0.025), ('PQIN', 0.003)]",New,New+2
WDAY,Workday Inc Class A,2,"[('WCLD', 0.019), ('GSEW', 0.002)]",New,New+2
WING,Wingstop Inc,2,"[('RFG', 0.022), ('GSSC', 0.003)]",New,New+2
BBWI,Bath & Body Works Inc,2,"[('PEZ', 0.032), ('GVIP', 0.021)]",New,New+2
FFIV,F5 Networks Inc,2,"[('IGN', 0.092), ('IYZ', 0.035)]",New,New+2
PRTA.IR,Prothena Corp PLC,2,"[('PTH', 0.028), ('IWC', 0.003)]",New,New+2
SMAR,Smartsheet Inc Class A,2,"[('IWFH', 0.025), ('WCLD', 0.018)]",New,New+2
UNIT,Uniti Group Inc,2,"[('KBWY', 0.044), ('TADS', 0.01)]",New,New+2
ZNZ21,10 Year Treasury Note Future Dec 21,2,"[('LDUR', 0.043), ('PST', 0.021)]",New,New+2
532755.BO,Tech Mahindra Ltd,2,"[('NFTY', 0.025), ('NXTG', 0.015)]",New,New+2
WHD,Cactus Inc Class A,2,"[('PXJ', 0.059), ('OIH', 0.042)]",New,New+2
FND,Floor & Decor Holdings Inc Class A,2,"[('XHB', 0.038), ('PKB', 0.036)]",New,New+2
DIOD,Diodes Inc,2,"[('PSCT', 0.028), ('ROSC', 0.011)]",New,New+2
COOP,Mr. Cooper Group Inc,2,"[('RZG', 0.019), ('XSVM', 0.015)]",New,New+2
VFH,Vanguard Financials ETF,1,"[('ARMR', 0.114)]",New,New+1
VAW,Vanguard Materials ETF,1,"[('ARMR', 0.026)]",New,New+1
VPU,Vanguard Utilities ETF,1,"[('ARMR', 0.025)]",New,New+1
SCR.TO,Score Media and Gaming Inc A,1,"[('BETZ', 0.051)]",New,New+1
GENI.L,Genius Sports Ltd,1,"[('BETZ', 0.029)]",New,New+1
PJUL,Innovator U.S. Equity Power Buf,1,"[('BUFF', 0.083)]",New,New+1
BCE,BCE Inc,1,"[('CIL', 0.004)]",New,New+1
GEBN.TO,Geberit AG,1,"[('CIL', 0.004)]",New,New+1
00006,Power Assets Holdings Ltd,1,"[('CIL', 0.004)]",New,New+1
RY.HK,Royal Bank of Canada,1,"[('CIL', 0.004)]",New,New+1
VAR1.DE,Varta AG,1,"[('CTEC', 0.037)]",New,New+1
LCV21,Live Cattle Future Oct 21,1,"[('DBA', 0.049)]",New,New+1
HEV21,Lean Hog Future Oct 21,1,"[('DBA', 0.045)]",New,New+1
HOLI,Hollysys Automation Technologies Ltd,1,"[('DEEP', 0.013)]",New,New+1
RBC,Regal Beloit Corp,1,"[('DFAS', 0.003)]",New,New+1
CHEMM,ChemoMetec A/S,1,"[('DFE', 0.022)]",New,New+1
JUP.L,Jupiter Fund Management PLC,1,"[('DFE', 0.02)]",New,New+1
ANIM.MI,Anima Holding SpA,1,"[('DFE', 0.018)]",New,New+1
PIA.MI,Piaggio & C. SpA,1,"[('DFE', 0.017)]",New,New+1
TGS,TGS ASA,1,"[('DFE', 0.017)]",New,New+1
TWEKA,TKH Group NV,1,"[('DFE', 0.017)]",New,New+1
DRX.L,Drax Group PLC,1,"[('DFE', 0.015)]",New,New+1
8804,Tokyo Tatemono Co Ltd,1,"[('DFJ', 0.005)]",New,New+1
5871.TW,Chailease Holding Co Ltd,1,"[('DGRE', 0.008)]",New,New+1
00189,Dongyue Group Ltd,1,"[('DGS', 0.015)]",New,New+1
ABDN.L,Abrdn PLC,1,"[('DIM', 0.008)]",New,New+1
HTA,Healthcare Trust of America Inc,1,"[('DIVA', 0.011)]",New,New+1
MGP,MGM Growth Properties LLC A,1,"[('DIVA', 0.011)]",New,New+1
7751,Canon Inc,1,"[('DOO', 0.018)]",New,New+1
NEM.DE,Nemetschek SE,1,"[('DTEC', 0.012)]",New,New+1
EWD,iShares Inc iShares MSCI Sweden,1,"[('DUDE', 0.155)]",New,New+1
IJK,iShares S&P Mid-Cap 400 Growth ,1,"[('DUDE', 0.151)]",New,New+1
FDIS,Fidelity MSCI Consumer Discreti,1,"[('DUDE', 0.15)]",New,New+1
GLSI,Greenwich LifeSciences Inc Ordinary Shares,1,"[('DWAS', 0.012)]",New,New+1
8570,AEON Financial Service Co Ltd,1,"[('DXJS', 0.006)]",New,New+1
4061,Denka Co Ltd,1,"[('DXJS', 0.006)]",New,New+1
GDDY,GoDaddy Inc A,1,"[('EBIZ', 0.041)]",New,New+1
CHNG,Change Healthcare Inc Ordinary Shares,1,"[('EDOC', 0.041)]",New,New+1
2887.TW,Taishin Financial Holdings Co Ltd,1,"[('EELV', 0.009)]",New,New+1
MHO,M/I Homes Inc,1,"[('EES', 0.007)]",New,New+1
8439,Tokyo Century Corp,1,"[('EFAD', 0.016)]",New,New+1
2127,Nihon M&A Center Inc,1,"[('EFAD', 0.015)]",New,New+1
5947,Rinnai Corp,1,"[('EFAD', 0.015)]",New,New+1
BC8.DE,Bechtle AG,1,"[('EFAD', 0.015)]",New,New+1
9435,Hikari Tsushin Inc,1,"[('EFAD', 0.015)]",New,New+1
TBIG,PT Tower Bersama Infrastructure Tbk,1,"[('EIDO', 0.019)]",New,New+1
BRPT,Barito Pacific Tbk,1,"[('EIDO', 0.019)]",New,New+1
KRZ.IR,Kerry Group PLC Class A,1,"[('EIRL', 0.103)]",New,New+1
GFTU.L,Grafton Group PLC Shs,1,"[('EIRL', 0.042)]",New,New+1
GL9,Glanbia PLC,1,"[('EIRL', 0.04)]",New,New+1
BIRG.IR,Bank of Ireland Group PLC,1,"[('EIRL', 0.039)]",New,New+1
KRX.IR,Kingspan Group PLC,1,"[('ERTH', 0.033)]",New,New+1
ABI,Anheuser-Busch InBev SA/NV,1,"[('EWK', 0.217)]",New,New+1
KBC,KBC Group SA/NV,1,"[('EWK', 0.091)]",New,New+1
ARGX,argenx SE,1,"[('EWK', 0.067)]",New,New+1
UCB,UCB SA,1,"[('EWK', 0.064)]",New,New+1
GBLB,Groupe Bruxelles Lambert SA,1,"[('EWK', 0.046)]",New,New+1
SOLB,Solvay SA,1,"[('EWK', 0.043)]",New,New+1
WDP,Warehouses De Pauw,1,"[('EWK', 0.026)]",New,New+1
1023,CIMB Group Holdings Bhd,1,"[('EWM', 0.067)]",New,New+1
5347,Tenaga Nasional Bhd,1,"[('EWM', 0.051)]",New,New+1
7113,Top Glove Corp Bhd,1,"[('EWM', 0.049)]",New,New+1
5183,Petronas Chemicals Group Bhd,1,"[('EWM', 0.045)]",New,New+1
8869,Press Metal Aluminium Holdings Bhd,1,"[('EWM', 0.036)]",New,New+1
6947,Digi.com Bhd,1,"[('EWM', 0.03)]",New,New+1
5168,Hartalega Holdings Bhd,1,"[('EWM', 0.028)]",New,New+1
DSM,Koninklijke DSM NV,1,"[('EWN', 0.042)]",New,New+1
HEIA,Heineken NV,1,"[('EWN', 0.034)]",New,New+1
ANDR,Andritz AG,1,"[('EWO', 0.046)]",New,New+1
RBI,Raiffeisen Bank International AG,1,"[('EWO', 0.043)]",New,New+1
CAI,CA Immobilien Anlagen AG,1,"[('EWO', 0.043)]",New,New+1
IIA,Immofinanz AG,1,"[('EWO', 0.035)]",New,New+1
FER.BC,Ferrovial SA,1,"[('EWP', 0.048)]",New,New+1
