Symbol,Name,SumWeights,DiffEntries,DiffValue
PAND,Pandion Therapeutics Inc Ordinary Shares,0.0061000003,-11,0.0
3529.TW,eMemory Technology Inc,0.0060999999999999995,-11,0.0
9104,Mitsui O.S.K. Lines Ltd,0.006,-11,0.0
BWY.L,Bellway PLC,0.0058999998,-12,0.0
ELUX B,Electrolux AB B,0.0058999998,-12,0.0
UCBI,United Community Banks Inc,0.0058999998,-12,0.0
BKH,Black Hills Corp,0.0058999998,-12,0.0
STJ.L,St James's Place PLC,0.0058,-13,0.0
4202,Daicel Corp,0.0058,-13,0.0
HOMB,Home BancShares Inc,0.0058,-13,0.0
ONB,Old National Bancorp,0.0058,-13,0.0
TATE.L,Tate & Lyle PLC,0.0057,-13,0.0
5214,Nippon Electric Glass Co Ltd,0.0057,-13,0.0
002380.KS,KCC Corp,0.0057,-13,0.0
HSII,Heidrick & Struggles International Inc,0.0057,-13,0.0
POR,Portland General Electric Co,0.0057,-13,0.0
FFBC,First Financial Bancorp,0.0056,-13,0.0
MTX,Minerals Technologies Inc,0.0056,-13,0.0
WTM,White Mountains Insurance Group Ltd,0.0056,-13,0.0
MKS.L,Marks & Spencer Group PLC,0.0055,-14,0.0
SBSI,Southside Bancshares Inc,0.0055,-14,0.0
NFG,National Fuel Gas Co,0.0053,-14,0.0
BEKB,NV Bekaert SA,0.0052,-14,0.0
048260.KS,OSSTEM IMPLANT Co Ltd,0.0052,-14,0.0
SBB B,Samhallsbyggnadsbolaget i Norden AB B,0.0052,-14,0.0
HLI,Houlihan Lokey Inc Class A,0.0052,-14,0.0
GNK,Genco Shipping & Trading Ltd,0.0051000002,-14,0.0
HRI,Herc Holdings Inc,0.005099999900000001,-14,0.0
HUBB,Hubbell Inc,0.0050999997,-14,0.0
6920,Lasertec Corp,0.005,-14,0.0
3436,SUMCO Corp,0.005,-14,0.0
T7O.L,Total Produce PLC,0.005,-14,0.0
00003.TO,Hong Kong and China Gas Co Ltd,0.005,-14,0.0
WDC,Western Digital Corp,0.0049,-14,0.0
MFSU21.DE,MSCI EAFE Index Future Sept 21,0.0047999998,-15,0.0
PAH3.PA,Porsche Automobil Holding SE Participating Preferred,0.0047999998,-15,0.0
