Symbol,Name,SumWeights
MSFT,Microsoft Corp,12.551199967600002
AAPL,Apple Inc,12.482600020500008
AMZN,Amazon.com Inc,9.407399949999997
GOOGL,Alphabet Inc A,8.664600040799993
IVV,iShares Core S&P 500 ETF,7.236699989000001
FB,Facebook Inc A,5.914599967499997
AGPXX,Invesco Shrt-Trm Inv Gov&Agcy Instl,5.7389999889700025
QQQ,"Invesco QQQ Trust, Series 1",5.2748999649999995
NVDA,NVIDIA Corp,4.7367999885000005
TSLA,Tesla Inc,4.4728000205999985
00700,Tencent Holdings Ltd,3.929799992299999
2330.TW,Taiwan Semiconductor Manufacturing Co Ltd,3.1047000230000004
JPM,JPMorgan Chase & Co,3.0516000190999986
VOO,Vanguard S&P 500 ETF,2.9534998999999997
JNJ,Johnson & Johnson,2.9115999894999995
XTSLA,BlackRock Cash Funds Treasury SL Agency,2.893099992899999
SPY,SPDR S&P 500,2.8348000120000005
TFDXX,BlackRock Liquidity FedFund Instl,2.7854998
TLT,iShares 20+ Year Treasury Bond ,2.7151999650000005
XOM,Exxon Mobil Corp,2.680399979
BABA,Alibaba Group Holding Ltd ADR,2.4665999732999997
BRK.B,Berkshire Hathaway Inc Class B,2.3588999926
XLK,SPDR Select Sector Fund - Techn,2.2588000349999997
NESN,Nestle SA,2.2342999885999997
09988,Alibaba Group Holding Ltd Ordinary Shares,2.1250000035
V,Visa Inc Class A,2.0721999941
ASML,ASML Holding NV ADR,2.0483999925999985
DGCXX,Dreyfus Government Cash Mgmt Instl,2.04299999997
005930.KS,Samsung Electronics Co Ltd,1.9819999959999999
ROG,Roche Holding AG,1.9201999817999997
VCSH,Vanguard Short-Term Corporate B,1.9152000329999999
03690,Meituan,1.9074000149999994
EAGG,iShares ESG Aware U.S. Aggregat,1.8881000000000001
CVX,Chevron Corp,1.887500012
HYG,iShares iBoxx $ High Yield Corp,1.8449000140000003
VZ,Verizon Communications Inc,1.8377999889
UBM21,Ultra US Treasury Bond Future June 21,1.8161999999999998
HD,The Home Depot Inc,1.7804000035000003
PG,Procter & Gamble Co,1.7585000080000004
JNK,SPDR Bloomberg Barclays High Yi,1.744200019
FXFXX,First American Treasury Obligs X,1.7411999602000001
UNH,UnitedHealth Group Inc,1.7185000009999998
PYPL,PayPal Holdings Inc,1.7101000050000001
SCHO,Schwab Short-Term U.S. Treasury,1.6952999999999998
LQD,iShares iBoxx $ Investment Grad,1.6738000039999998
ZNU21,10 Year Treasury Note Future Sept 21,1.6695999810000002
CSCO,Cisco Systems Inc,1.6624999720000002
SSPY,Syntax Stratified LargeCap ETF,1.61910003
AGG,iShares Core U.S. Aggregate Bon,1.5763998819999998
IJR,iShares Core S&P Small-Cap ETF,1.5623
BAC,Bank of America Corp,1.5236000104999998
NEE,NextEra Energy Inc,1.486699996
GDX.AX,VanEck Vectors Gold Miners ETF,1.4606
HYLB,Xtrackers USD High Yield Corpor,1.4188
ESU21,E-mini S&P 500 Future Sept 21,1.41739997
AMT,American Tower Corp,1.4023999879999998
PLD,Prologis Inc,1.3869999924999998
ADBE,Adobe Inc,1.3565999930000003
INTC,Intel Corp,1.3424999954999999
XLF,SPDR Select Sector Fund - Finan,1.3422000240000003
ENB.TO,Enbridge Inc,1.2912999900000002
TPIXX,State Street Instl Trs Pls MMkt Premier,1.2798000002999999
INFY.BO,Infosys Ltd,1.2355999931000003
NOVN,Novartis AG,1.1906999971
MA,Mastercard Inc A,1.1901999955000002
PFE,Pfizer Inc,1.1878999920000002
IJH,iShares Core S&P Mid-Cap ETF,1.1837000199999999
NIO,NIO Inc ADR,1.176400007
XLY,SPDR Select Sector Fund - Consu,1.173500016
ESGU,iShares ESG Aware MSCI USA ETF,1.16560001
MC.PA,LVMH Moet Hennessy Louis Vuitton SE,1.1581999975000004
WFC,Wells Fargo & Co,1.1545000175000002
IEF,iShares 7-10 Year Treasury Bond,1.13949999999
JD,JD.com Inc ADR,1.1367000025
ABBV,AbbVie Inc,1.134399996
VTI,Vanguard Total Stock Market ETF,1.128499997
SAP.DE,SAP SE,1.1248999992
WBSN21,WTI Crude Future June 21,1.1221999999999999
WMT,Walmart Inc,1.1152000115
7203,Toyota Motor Corp,1.1116000082
EQIX,Equinix Inc,1.103899996
BISXX,BlackRock Cash Funds Instl SL Agency,1.085900003
TXN,Texas Instruments Inc,1.0584000015000001
PM,Philip Morris International Inc,1.043199993
SQ,Square Inc A,1.040499984
ULVR.L,Unilever PLC,1.0334999979999997
MRK,Merck & Co Inc,1.031200007
QCOM,Qualcomm Inc,1.0293999989999998
VTWO,Vanguard Russell 2000 ETF,1.0275
IWD,iShares Russell 1000 Value ETF,1.025099952
NEM,Newmont Corp,1.016900023
RIO.L,Rio Tinto PLC,1.0133999804999998
CLN1,Light Sweet Crude Oil Future July 21,1.0
MUB,iShares National Muni Bond ETF,0.9997
ZNM21,10 Year Treasury Note Future June 21,0.9995
COP,ConocoPhillips,0.9982000015000001
BND,Vanguard Total Bond Market ETF,0.9980999939999999
IWM,iShares Russell 2000 ETF,0.9962
USHY,iShares Broad USD High Yield Co,0.9876
CCI,Crown Castle International Corp,0.9782999800000001
T,AT&T Inc,0.9621000015000002
VALE3.SA,Vale SA,0.9578999940000001
AVGO,Broadcom Inc,0.9470000079999998
SHOP.TO,Shopify Inc A,0.9452000045999998
IWF,iShares Russell 1000 Growth ETF,0.9395
LIN.L,Linde PLC,0.9323999959999999
NOVO B,Novo Nordisk A/S B,0.9129999970000001
NKE,Nike Inc B,0.9032999879999998
ZBU21,US Treasury Bond Future Sept 21,0.898199997
GCG22,Gold Future Feb 22,0.8903000699999999
PEP,PepsiCo Inc,0.8894000071999999
TGT,Target Corp,0.8894000013000002
LLY,Eli Lilly and Co,0.8793000005
NPN.JO,Naspers Ltd Class N,0.868699988
ZFU21,5 Year Treasury Note Future Sept 21,0.8599
TSM.TW,Taiwan Semiconductor Manufacturing Co Ltd ADR,0.855299993
SCHP,Schwab U.S. TIPs ETF,0.8547
HOLD,AdvisorShares Sage Core Reserve,0.85229998
BIDU,Baidu Inc ADR,0.8445000049999999
BHP.AX,BHP Group Ltd ADR,0.838999998
PSA,Public Storage,0.828700005
ANGL,VanEck Fallen Angel High Yield ,0.8248
SIE.DE,Siemens AG,0.8145000099999999
KO,Coca-Cola Co,0.812499989
XLI,SPDR Select Sector Fund - Indus,0.811900004
ENPH,Enphase Energy Inc,0.804600009
DIS,The Walt Disney Co,0.802899993
00939,China Construction Bank Corp Class H,0.7997999971
EFAV,iShares MSCI EAFE Min Vol Facto,0.7975
CRWD,CrowdStrike Holdings Inc Class A,0.7952999890000001
TRP.TO,TC Energy Corp,0.793899997
IEFA,iShares Core MSCI EAFE ETF,0.7910999970000001
RELIANCE.B,Reliance Industries Ltd Shs Dematerialised,0.7820999975000001
TMO,Thermo Fisher Scientific Inc,0.7790999914000001
VGK,Vanguard FTSEEuropean ETF,0.778399998
KMI,Kinder Morgan Inc Class P,0.771199987
CMCSA,Comcast Corp Class A,0.7705999975
IBM,International Business Machines Corp,0.7684999905000001
WMB,Williams Companies Inc,0.765100002
GDX,VanEck Vectors Gold Miners ETF,0.75739996
IWN,iShares Russell 2000 Value ETF,0.7547
ULTR,IQ Ultra Short Duration ETF,0.7539999949999999
XLV,SPDR Select Sector Fund - Healt,0.7487999949999999
NFLX,Netflix Inc,0.7471999929999998
DUK,Duke Energy Corp,0.7402999989999999
ALV.DE,Allianz SE,0.73209999
600519,Kweichow Moutai Co Ltd,0.731800004
TLRY.TO,Aphria Inc,0.731200016
EOG,EOG Resources Inc,0.7234000079999999
CRM,Salesforce.com Inc,0.7144999919999999
EPD,Enterprise Products Partners LP,0.714300001
01299.HK,AIA Group Ltd,0.7125000028999999
COST,Costco Wholesale Corp,0.7060000046999999
BNDX,Vanguard Total International Bo,0.7034
DE,Deere & Co,0.7017000045
MELI.SA,MercadoLibre Inc,0.7009
AMD,Advanced Micro Devices Inc,0.698999992
MRNA,Moderna Inc,0.6969999960999999
AZN.L,AstraZeneca PLC ADR,0.6937999941999998
SE.SI,Sea Ltd ADR,0.6866999990000001
DHR,Danaher Corp,0.684800018
FXR,First Trust Industrials AlphaDE,0.6829999999999999
XLP,SPDR Select Sector Fund - Consu,0.677500004
NTES,NetEase Inc ADR,0.6677000009999999
GILD,Gilead Sciences Inc,0.658899986
300750,Contemporary Amperex Technology Co Ltd Class A,0.6565999960000001
GLDM,SPDR Gold MiniShares Trust,0.65559995
GS,Goldman Sachs Group Inc,0.6549000045000002
WELL,Welltower Inc,0.651800003
NET,Cloudflare Inc,0.6506000027000001
02269,WuXi Biologics (Cayman) Inc Registered Shs Unitary 144A/Reg S,0.649599995
WPM.TO,Wheaton Precious Metals Corp,0.647699997
DLR,Digital Realty Trust Inc,0.6475000030000001
GSK.L,GlaxoSmithKline PLC,0.641699996
SRLN,SPDR Blackstone Senior Loan ETF,0.63780001
UNP,Union Pacific Corp,0.635700001
FTNT,Fortinet Inc,0.6326000024999999
C,Citigroup Inc,0.629599997
UPS,United Parcel Service Inc Class B,0.6272000024999999
KWEB,KraneShares Trust KraneShares C,0.6267
BILI,Bilibili Inc ADR,0.622599996
ADM,Archer-Daniels Midland Co,0.616400004
AMGN,Amgen Inc,0.616300004
SIF22,Silver Future Jan 22,0.61560001
