Symbol,Name,SumWeights,Holders
HYG,iShares iBoxx $ High Yield Corp,1.7960000000000003,"[('HYTR', 0.498), ('THY', 0.33), ('DFHY', 0.218), ('FFTI', 0.19), ('SNUG', 0.148)]"
CSCO,Cisco Systems Inc,1.792999999999999,"[('IYZ', 0.224), ('LTL', 0.167), ('IGN', 0.083), ('CIBR', 0.057), ('DJD', 0.049)]"
JNK,SPDR Bloomberg High Yield Bond ,1.745,"[('HYTR', 0.5), ('THY', 0.331), ('FFTI', 0.19), ('SNUG', 0.149), ('DFHY', 0.135)]"
FXFXX,First American Treasury Obligs X,1.7419999999999993,"[('BDRY', 1.0), ('MSVX', 0.387), ('MSTB', 0.18), ('AWTM', 0.146), ('FEBZ', 0.009)]"
005930.KS,Samsung Electronics Co Ltd,1.7379999999999995,"[('FLKR', 0.163), ('AIA', 0.11), ('EEMO', 0.086), ('KEMX', 0.073), ('FRDM', 0.07)]"
PYPL,PayPal Holdings Inc,1.7120000000000004,"[('PNQI', 0.083), ('IYJ', 0.069), ('FINX', 0.065), ('IPAY', 0.064), ('SHE', 0.064)]"
SCHO,Schwab Short-Term U.S. Treasury,1.6949999999999998,"[('KMLM', 1.684), ('KRBN', 0.011)]"
LQD,iShares iBoxx $ Investment Grad,1.6729999999999998,"[('LQDI', 1.006), ('ADFI', 0.153), ('FFTI', 0.108), ('QLS', 0.099), ('TDSB', 0.091)]"
ZNU21,10 Year Treasury Note Future Sept 21,1.6700000000000002,"[('KMLM', 0.552), ('HYHG', 0.348), ('IGHG', 0.267), ('FUT', 0.17), ('FTSD', 0.07)]"
CVX,Chevron Corp,1.6480000000000001,"[('XLE', 0.2), ('ERX', 0.171), ('VDE', 0.166), ('FENY', 0.165), ('DIG', 0.136)]"
SSPY,Syntax Stratified LargeCap ETF,1.619,"[('SYUS', 0.85), ('SHUS', 0.769)]"
IJR,iShares Core S&P Small-Cap ETF,1.563,"[('OVS', 1.0), ('FFHG', 0.232), ('FFSG', 0.161), ('EUCG', 0.08), ('QPX', 0.051)]"
NEE,NextEra Energy Inc,1.4830000000000003,"[('UTES', 0.191), ('XLU', 0.161), ('VPU', 0.139), ('FUTY', 0.138), ('UTSL', 0.128)]"
AGG,iShares Core U.S. Aggregate Bon,1.477,"[('OVB', 1.0), ('MRSK', 0.189), ('HNDL', 0.115), ('FFTI', 0.105), ('AFIF', 0.044)]"
