Bigram,Name,NumAppearances,Holders,DiffEntries,DiffValue
"('CNDT', 'INVA')","('Conduent Inc', 'Innoviva Inc')",1,"[('ACTV', 0.059)]",New,New
"('CNDT', 'EVH')","('Conduent Inc', 'Evolent Health Inc A')",1,"[('ACTV', 0.059)]",New,New
"('CVLT', 'TRN')","('CommVault Systems Inc', 'Trinity Industries Inc')",1,"[('ACTV', 0.059)]",New,New
"('GDOT', 'TRN')","('Green Dot Corp Class A', 'Trinity Industries Inc')",1,"[('ACTV', 0.06)]",New,New
"('PZZA', 'TRN')","(""Papa John's International Inc"", 'Trinity Industries Inc')",1,"[('ACTV', 0.06)]",New,New
"('MMSI', 'TRN')","('Merit Medical Systems Inc', 'Trinity Industries Inc')",1,"[('ACTV', 0.059)]",New,New
"('MD', 'TRN')","('Mednax Inc', 'Trinity Industries Inc')",1,"[('ACTV', 0.059)]",New,New
"('BOX', 'TRN')","('Box Inc A', 'Trinity Industries Inc')",1,"[('ACTV', 0.059)]",New,New
"('INVA', 'TRN')","('Innoviva Inc', 'Trinity Industries Inc')",1,"[('ACTV', 0.059)]",New,New
"('EVH', 'TRN')","('Evolent Health Inc A', 'Trinity Industries Inc')",1,"[('ACTV', 0.059)]",New,New
"('CVLT', 'GDOT')","('CommVault Systems Inc', 'Green Dot Corp Class A')",1,"[('ACTV', 0.06)]",New,New
"('CVLT', 'PZZA')","('CommVault Systems Inc', ""Papa John's International Inc"")",1,"[('ACTV', 0.06)]",New,New
"('CVLT', 'MMSI')","('CommVault Systems Inc', 'Merit Medical Systems Inc')",1,"[('ACTV', 0.059)]",New,New
"('CVLT', 'MD')","('CommVault Systems Inc', 'Mednax Inc')",1,"[('ACTV', 0.059)]",New,New
"('BOX', 'CVLT')","('Box Inc A', 'CommVault Systems Inc')",1,"[('ACTV', 0.059)]",New,New
"('CVLT', 'INVA')","('CommVault Systems Inc', 'Innoviva Inc')",1,"[('ACTV', 0.059)]",New,New
"('CVLT', 'EVH')","('CommVault Systems Inc', 'Evolent Health Inc A')",1,"[('ACTV', 0.059)]",New,New
"('GDOT', 'PZZA')","('Green Dot Corp Class A', ""Papa John's International Inc"")",1,"[('ACTV', 0.061)]",New,New
"('GDOT', 'MMSI')","('Green Dot Corp Class A', 'Merit Medical Systems Inc')",1,"[('ACTV', 0.06)]",New,New
"('GDOT', 'MD')","('Green Dot Corp Class A', 'Mednax Inc')",1,"[('ACTV', 0.061)]",New,New
"('BOX', 'GDOT')","('Box Inc A', 'Green Dot Corp Class A')",1,"[('ACTV', 0.06)]",New,New
"('GDOT', 'INVA')","('Green Dot Corp Class A', 'Innoviva Inc')",1,"[('ACTV', 0.061)]",New,New
"('EVH', 'GDOT')","('Evolent Health Inc A', 'Green Dot Corp Class A')",1,"[('ACTV', 0.06)]",New,New
"('MD', 'PZZA')","('Mednax Inc', ""Papa John's International Inc"")",1,"[('ACTV', 0.06)]",New,New
"('BOX', 'PZZA')","('Box Inc A', ""Papa John's International Inc"")",1,"[('ACTV', 0.06)]",New,New
"('MD', 'MMSI')","('Mednax Inc', 'Merit Medical Systems Inc')",1,"[('ACTV', 0.059)]",New,New
"('BOX', 'MMSI')","('Box Inc A', 'Merit Medical Systems Inc')",1,"[('ACTV', 0.059)]",New,New
"('BOX', 'MD')","('Box Inc A', 'Mednax Inc')",1,"[('ACTV', 0.059)]",New,New
"('INVA', 'MD')","('Innoviva Inc', 'Mednax Inc')",1,"[('ACTV', 0.06)]",New,New
"('EVH', 'MD')","('Evolent Health Inc A', 'Mednax Inc')",1,"[('ACTV', 0.059)]",New,New
"('BOX', 'INVA')","('Box Inc A', 'Innoviva Inc')",1,"[('ACTV', 0.059)]",New,New
"('BOX', 'EVH')","('Box Inc A', 'Evolent Health Inc A')",1,"[('ACTV', 0.059)]",New,New
"('00939', 'INTC')","('China Construction Bank Corp Class H', 'Intel Corp')",1,"[('ACWF', 0.032)]",New,New
"('00939', 'MU')","('China Construction Bank Corp Class H', 'Micron Technology Inc')",1,"[('ACWF', 0.022)]",New,New
"('00939', 'AAPL')","('China Construction Bank Corp Class H', 'Apple Inc')",1,"[('ACWF', 0.025)]",New,New
"('00939', 'AMAT')","('China Construction Bank Corp Class H', 'Applied Materials Inc')",1,"[('ACWF', 0.029)]",New,New
"('00939', 'ANTM')","('China Construction Bank Corp Class H', 'Anthem Inc')",1,"[('ACWF', 0.024)]",New,New
"('00939', 'FDX')","('China Construction Bank Corp Class H', 'FedEx Corp')",1,"[('ACWF', 0.02)]",New,New
"('00939', 'TGT')","('China Construction Bank Corp Class H', 'Target Corp')",1,"[('ACWF', 0.029)]",New,New
"('00939', 'RIO.L')","('China Construction Bank Corp Class H', 'Rio Tinto PLC')",1,"[('ACWF', 0.022)]",New,New
"('IBN.BO', 'VALE.SA')","('ICICI Bank Ltd ADR', 'Vale SA ADR')",1,"[('ADRE', 0.067)]",New,New
"('IBN.BO', 'TSM.TW')","('ICICI Bank Ltd ADR', 'Taiwan Semiconductor Manufacturing Co Ltd ADR')",1,"[('ADRE', 0.25)]",New,New
"('IBN.BO', 'NTES')","('ICICI Bank Ltd ADR', 'NetEase Inc ADR')",1,"[('ADRE', 0.052)]",New,New
"('CSCO', 'PWR')","('Cisco Systems Inc', 'Quanta Services Inc')",1,"[('AFLG', 0.021)]",New,New
"('AGCO', 'SNX')","('AGCO Corp', 'Synnex Corp')",1,"[('AFMC', 0.024)]",New,New
"('AGCO', 'DKS')","('AGCO Corp', ""Dick's Sporting Goods Inc"")",1,"[('AFMC', 0.027)]",New,New
"('AGCO', 'AN')","('AGCO Corp', 'AutoNation Inc')",1,"[('AFMC', 0.026)]",New,New
"('AGCO', 'MAN')","('AGCO Corp', 'ManpowerGroup Inc')",1,"[('AFMC', 0.023)]",New,New
"('JLL', 'SNX')","('Jones Lang LaSalle Inc', 'Synnex Corp')",1,"[('AFMC', 0.027)]",New,New
"('SNX', 'UGI')","('Synnex Corp', 'UGI Corp')",1,"[('AFMC', 0.022)]",New,New
"('DKS', 'SNX')","(""Dick's Sporting Goods Inc"", 'Synnex Corp')",1,"[('AFMC', 0.025)]",New,New
"('AFG', 'SNX')","('American Financial Group Inc', 'Synnex Corp')",1,"[('AFMC', 0.022)]",New,New
"('LPX', 'SNX')","('Louisiana-Pacific Corp', 'Synnex Corp')",1,"[('AFMC', 0.022)]",New,New
"('DKS', 'JLL')","(""Dick's Sporting Goods Inc"", 'Jones Lang LaSalle Inc')",1,"[('AFMC', 0.03)]",New,New
"('AN', 'JLL')","('AutoNation Inc', 'Jones Lang LaSalle Inc')",1,"[('AFMC', 0.029)]",New,New
"('JLL', 'MAN')","('Jones Lang LaSalle Inc', 'ManpowerGroup Inc')",1,"[('AFMC', 0.026)]",New,New
"('AN', 'UGI')","('AutoNation Inc', 'UGI Corp')",1,"[('AFMC', 0.024)]",New,New
"('MAN', 'UGI')","('ManpowerGroup Inc', 'UGI Corp')",1,"[('AFMC', 0.021)]",New,New
"('AN', 'DKS')","('AutoNation Inc', ""Dick's Sporting Goods Inc"")",1,"[('AFMC', 0.027)]",New,New
"('DKS', 'MAN')","(""Dick's Sporting Goods Inc"", 'ManpowerGroup Inc')",1,"[('AFMC', 0.025)]",New,New
"('ARW', 'DKS')","('Arrow Electronics Inc', ""Dick's Sporting Goods Inc"")",1,"[('AFMC', 0.028)]",New,New
"('AFG', 'DKS')","('American Financial Group Inc', ""Dick's Sporting Goods Inc"")",1,"[('AFMC', 0.025)]",New,New
"('AFG', 'AN')","('American Financial Group Inc', 'AutoNation Inc')",1,"[('AFMC', 0.024)]",New,New
"('AFG', 'MAN')","('American Financial Group Inc', 'ManpowerGroup Inc')",1,"[('AFMC', 0.021)]",New,New
"('LPX', 'MAN')","('Louisiana-Pacific Corp', 'ManpowerGroup Inc')",1,"[('AFMC', 0.022)]",New,New
"('HIBB', 'NAVI')","('Hibbett Inc', 'Navient Corp')",1,"[('AFSM', 0.019)]",New,New
"('HIBB', 'SPT')","('Hibbett Inc', 'Sprout Social Inc Class A')",1,"[('AFSM', 0.018)]",New,New
"('MODV', 'NAVI')","('ModivCare Inc', 'Navient Corp')",1,"[('AFSM', 0.019)]",New,New
"('MODV', 'SPT')","('ModivCare Inc', 'Sprout Social Inc Class A')",1,"[('AFSM', 0.018)]",New,New
"('MODV', 'MYRG')","('ModivCare Inc', 'MYR Group Inc')",1,"[('AFSM', 0.019)]",New,New
"('ARCB', 'NAVI')","('ArcBest Corp', 'Navient Corp')",1,"[('AFSM', 0.02)]",New,New
"('BCC', 'NAVI')","('Boise Cascade Co', 'Navient Corp')",1,"[('AFSM', 0.019)]",New,New
"('NAVI', 'SWBI')","('Navient Corp', 'Smith & Wesson Brands Inc')",1,"[('AFSM', 0.02)]",New,New
"('NAVI', 'SPT')","('Navient Corp', 'Sprout Social Inc Class A')",1,"[('AFSM', 0.018)]",New,New
"('MYRG', 'NAVI')","('MYR Group Inc', 'Navient Corp')",1,"[('AFSM', 0.019)]",New,New
"('LPX', 'NAVI')","('Louisiana-Pacific Corp', 'Navient Corp')",1,"[('AFSM', 0.018)]",New,New
"('ARCB', 'SPT')","('ArcBest Corp', 'Sprout Social Inc Class A')",1,"[('AFSM', 0.018)]",New,New
"('ARCB', 'MYRG')","('ArcBest Corp', 'MYR Group Inc')",1,"[('AFSM', 0.019)]",New,New
"('BCC', 'SPT')","('Boise Cascade Co', 'Sprout Social Inc Class A')",1,"[('AFSM', 0.018)]",New,New
"('BCC', 'MYRG')","('Boise Cascade Co', 'MYR Group Inc')",1,"[('AFSM', 0.019)]",New,New
"('SPT', 'SWBI')","('Sprout Social Inc Class A', 'Smith & Wesson Brands Inc')",1,"[('AFSM', 0.018)]",New,New
"('MYRG', 'SWBI')","('MYR Group Inc', 'Smith & Wesson Brands Inc')",1,"[('AFSM', 0.019)]",New,New
"('SPT', 'VSTO')","('Sprout Social Inc Class A', 'Vista Outdoor Inc')",1,"[('AFSM', 0.017)]",New,New
"('MYRG', 'VSTO')","('MYR Group Inc', 'Vista Outdoor Inc')",1,"[('AFSM', 0.018)]",New,New
"('MYRG', 'SPT')","('MYR Group Inc', 'Sprout Social Inc Class A')",1,"[('AFSM', 0.017)]",New,New
"('LPX', 'SPT')","('Louisiana-Pacific Corp', 'Sprout Social Inc Class A')",1,"[('AFSM', 0.017)]",New,New
"('LPX', 'MYRG')","('Louisiana-Pacific Corp', 'MYR Group Inc')",1,"[('AFSM', 0.018)]",New,New
"('300059', '600036')","('East Money Information Co Ltd', 'China Merchants Bank Co Ltd')",1,"[('AFTY', 0.114)]",New,New
"('000858', '300059')","('Wuliangye Yibin Co Ltd', 'East Money Information Co Ltd')",1,"[('AFTY', 0.081)]",New,New
"('300059', '600030')","('East Money Information Co Ltd', 'CITIC Securities Co Ltd')",1,"[('AFTY', 0.06)]",New,New
"('300059', '600519')","('East Money Information Co Ltd', 'Kweichow Moutai Co Ltd')",1,"[('AFTY', 0.132)]",New,New
