Symbol,Name,SumWeights,Holders,DiffEntries,DiffValue
FTI,TechnipFMC PLC,0.075,"[('PXJ', 0.075)]",New,New
BKR,Baker Hughes Co Class A,0.063,"[('PXJ', 0.063)]",New,New
SPXC,SPX Corp,0.031,"[('AIRR', 0.031)]",New,New
FSS,Federal Signal Corp,0.031,"[('AIRR', 0.031)]",New,New
IPAR,Inter Parfums Inc,0.03,"[('ALFA', 0.03)]",New,New
EDF,Stone Harbor Emerging Mkts Income,0.03,"[('ALTY', 0.03)]",New,New
ETB,EV Tax-Managed Buy-Write Inc,0.029,"[('ALTY', 0.029)]",New,New
ETJ,EV Risk-Mgd Divers Equity Inc,0.029,"[('ALTY', 0.029)]",New,New
TEI,Templeton Emerging Markets Income,0.028,"[('ALTY', 0.028)]",New,New
8604,Nomura Holdings Inc,0.022,"[('AIIQ', 0.022)]",New,New
3926,Open Door Inc,0.019,"[('AIIQ', 0.019)]",New,New
ENVA,Enova International Inc,0.019,"[('FDM', 0.019)]",New,New
6951,Jeol Ltd,0.018,"[('AIIQ', 0.018)]",New,New
USCR,US Concrete Inc,0.018,"[('FDM', 0.018)]",New,New
6516,Sanyo Denki Co Ltd,0.017,"[('AIIQ', 0.017)]",New,New
WOW,WideOpenWest Inc,0.016,"[('FDM', 0.016)]",New,New
IESC,IES Holdings Inc,0.016,"[('FDM', 0.016)]",New,New
WKHS,Workhorse Group Inc,0.004,"[('IWC', 0.004)]",New,New
PTGX,Protagonist Therapeutics Inc,0.003,"[('IWC', 0.003)]",New,New
PRTA.IR,Prothena Corp PLC,0.003,"[('IWC', 0.003)]",New,New
UIS,Unisys Corp,0.003,"[('IWC', 0.003)]",New,New
CSTL,Castle Biosciences Inc,0.003,"[('IWC', 0.003)]",New,New
SENS,Senseonics Holdings Inc,0.003,"[('IWC', 0.003)]",New,New
