Bigram,Name,SumWeights
"('UBM21', 'ZNM21')","('Ultra US Treasury Bond Future June 21', '10 Year Treasury Note Future June 21')",2.3853
"('GOOGL', 'JPM')","('Alphabet Inc A', 'JPMorgan Chase & Co')",2.3833000070999995
"('GOOGL', 'BRK.B')","('Alphabet Inc A', 'Berkshire Hathaway Inc Class B')",2.2498000127999997
"('NOVN', 'NESN')","('Novartis AG', 'Nestle SA')",2.2469999841000003
"('SCHO', 'ZNU21')","('Schwab Short-Term U.S. Treasury', '10 Year Treasury Note Future Sept 21')",2.2361
"('AMZN', 'HD')","('Amazon.com Inc', 'The Home Depot Inc')",2.2307999715
"('03690', '2330.TW')","('Meituan', 'Taiwan Semiconductor Manufacturing Co Ltd')",2.226800028
"('SCHO', 'CGBU21.TO')","('Schwab Short-Term U.S. Treasury', '10 Year Government of Canada Bond Future Sept 21')",2.2229
"('SCHO', 'FGBLU21.DE')","('Schwab Short-Term U.S. Treasury', 'Euro Bund Future Sept 21')",2.2188999999999997
"('JNJ', 'GOOGL')","('Johnson & Johnson', 'Alphabet Inc A')",2.1519000104999995
"('ESGE', 'EAGG')","('iShares ESG Aware MSCI EM ETF', 'iShares ESG Aware U.S. Aggregat')",2.145299991
"('XLK', 'XLY')","('SPDR Select Sector Fund - Techn', 'SPDR Select Sector Fund - Consu')",2.138900025
"('UBM21', 'VTI')","('Ultra US Treasury Bond Future June 21', 'Vanguard Total Stock Market ETF')",2.1303
"('AAPL', 'UNH')","('Apple Inc', 'UnitedHealth Group Inc')",2.123199993
"('FB', 'BRK.B')","('Facebook Inc A', 'Berkshire Hathaway Inc Class B')",2.1180999953
"('AAPL', 'HD')","('Apple Inc', 'The Home Depot Inc')",2.1137000145
"('AMZN', 'BABA')","('Amazon.com Inc', 'Alibaba Group Holding Ltd ADR')",2.083599996
"('AAPL', 'MA')","('Apple Inc', 'Mastercard Inc A')",2.0448999945000006
"('UBM21', 'GLDM')","('Ultra US Treasury Bond Future June 21', 'SPDR Gold MiniShares Trust')",2.0413999499999997
"('EAGG', 'ESML')","('iShares ESG Aware U.S. Aggregat', 'iShares ESG Aware MSCI USA Smal')",2.0373000020000003
"('NOVN', 'ROG')","('Novartis AG', 'Roche Holding AG')",2.0090999829000005
"('GDXJ.IR', 'GDX.AX')","('VanEck Vectorsâ\x84¢ Junior Gold Miners ETF', 'VanEck Vectors Gold Miners ETF')",2.0
"('00939', '09988')","('China Construction Bank Corp Class H', 'Alibaba Group Holding Ltd Ordinary Shares')",1.9968999986
"('FB', 'JPM')","('Facebook Inc A', 'JPMorgan Chase & Co')",1.9662999981
"('BABA', 'JD')","('Alibaba Group Holding Ltd ADR', 'JD.com Inc ADR')",1.9501999865
"('GOOGL', 'PYPL')","('Alphabet Inc A', 'PayPal Holdings Inc')",1.945500022
"('FB', 'V')","('Facebook Inc A', 'Visa Inc Class A')",1.9312999891000004
"('XLK', 'XLF')","('SPDR Select Sector Fund - Techn', 'SPDR Select Sector Fund - Finan')",1.904900018
"('ASML', 'NESN')","('ASML Holding NV ADR', 'Nestle SA')",1.8997999996000003
"('CRM', 'MSFT')","('Salesforce.com Inc', 'Microsoft Corp')",1.8916999870000002
"('NVDA', 'PYPL')","('NVIDIA Corp', 'PayPal Holdings Inc')",1.887399998
"('AMT', 'CCI')","('American Tower Corp', 'Crown Castle International Corp')",1.8849999699999997
"('XLK', 'QQQ')","('SPDR Select Sector Fund - Techn', 'Invesco QQQ Trust, Series 1')",1.87779999
"('JGBLU21', 'SCHO')","('10 Year Japanese Government Bond Future Sept 21', 'Schwab Short-Term U.S. Treasury')",1.8771
"('INFY.BO', '2330.TW')","('Infosys Ltd', 'Taiwan Semiconductor Manufacturing Co Ltd')",1.8687000085
"('PG', 'MSFT')","('Procter & Gamble Co', 'Microsoft Corp')",1.8683000019999998
"('MC.PA', 'ASML')","('LVMH Moet Hennessy Louis Vuitton SE', 'ASML Holding NV ADR')",1.8612999951000004
"('HD', 'MSFT')","('The Home Depot Inc', 'Microsoft Corp')",1.8601999905000002
"('AAPL', 'PG')","('Apple Inc', 'Procter & Gamble Co')",1.852700005
"('ROG', 'ASML')","('Roche Holding AG', 'ASML Holding NV ADR')",1.8385999954
"('UBM21', 'VWO')","('Ultra US Treasury Bond Future June 21', 'Vanguard FTSE Emerging Markets ')",1.81980002
"('AAPL', 'INTC')","('Apple Inc', 'Intel Corp')",1.817799997
"('SSPY', 'SMDY')","('Syntax Stratified LargeCap ETF', 'Syntax Stratified MidCap ETF')",1.8085000240000002
"('2330.TW', '00939')","('Taiwan Semiconductor Manufacturing Co Ltd', 'China Construction Bank Corp Class H')",1.8077000160999999
"('02318', '00700')","('Ping An Insurance (Group) Co. of China Ltd Class H', 'Tencent Holdings Ltd')",1.8057000054999996
"('JNJ', 'AMZN')","('Johnson & Johnson', 'Amazon.com Inc')",1.7898999939999998
"('AAPL', 'CSCO')","('Apple Inc', 'Cisco Systems Inc')",1.760800003
"('00700', 'NIO')","('Tencent Holdings Ltd', 'NIO Inc ADR')",1.7505000079999997
"('ZNM21', 'VTI')","('10 Year Treasury Note Future June 21', 'Vanguard Total Stock Market ETF')",1.7440000000000002
"('UBM21', 'BAR')","('Ultra US Treasury Bond Future June 21', 'GraniteShares Gold Trust')",1.7336
