Bigram,Name,SumWeights
"('MSFT', 'AAPL')","('Microsoft Corp', 'Apple Inc')",20.729699981000007
"('AMZN', 'MSFT')","('Amazon.com Inc', 'Microsoft Corp')",15.142699955
"('AMZN', 'AAPL')","('Amazon.com Inc', 'Apple Inc')",15.073799968999996
"('GOOGL', 'MSFT')","('Alphabet Inc A', 'Microsoft Corp')",13.56380003279999
"('GOOGL', 'AAPL')","('Alphabet Inc A', 'Apple Inc')",12.940800024799996
"('AAPL', 'FB')","('Apple Inc', 'Facebook Inc A')",11.970299973500007
"('MSFT', 'FB')","('Microsoft Corp', 'Facebook Inc A')",11.626199984500003
"('GOOGL', 'AMZN')","('Alphabet Inc A', 'Amazon.com Inc')",10.683699998000002
"('NVDA', 'MSFT')","('NVIDIA Corp', 'Microsoft Corp')",10.471799971300001
"('AMZN', 'FB')","('Amazon.com Inc', 'Facebook Inc A')",10.414599975499998
"('GOOGL', 'FB')","('Alphabet Inc A', 'Facebook Inc A')",9.905200005800003
"('NVDA', 'AAPL')","('NVIDIA Corp', 'Apple Inc')",9.8293999973
"('AAPL', 'TSLA')","('Apple Inc', 'Tesla Inc')",8.480300012599997
"('MSFT', 'TSLA')","('Microsoft Corp', 'Tesla Inc')",7.970099991600001
"('AMZN', 'TSLA')","('Amazon.com Inc', 'Tesla Inc')",7.234899981600001
"('NVDA', 'AMZN')","('NVIDIA Corp', 'Amazon.com Inc')",6.7785999773
"('V', 'MSFT')","('Visa Inc Class A', 'Microsoft Corp')",5.703299968100001
"('NVDA', 'GOOGL')","('NVIDIA Corp', 'Alphabet Inc A')",5.6266000166
"('JPM', 'AAPL')","('JPMorgan Chase & Co', 'Apple Inc')",5.6118999911000005
"('JPM', 'MSFT')","('JPMorgan Chase & Co', 'Microsoft Corp')",5.389000002100002
"('GOOGL', 'TSLA')","('Alphabet Inc A', 'Tesla Inc')",5.1719000396000006
"('NVDA', 'FB')","('NVIDIA Corp', 'Facebook Inc A')",4.8478999793
"('00700', '03690')","('Tencent Holdings Ltd', 'Meituan')",4.651300013000001
"('V', 'AAPL')","('Visa Inc Class A', 'Apple Inc')",4.645700004099999
"('JNJ', 'AAPL')","('Johnson & Johnson', 'Apple Inc')",4.501999992
"('JNJ', 'MSFT')","('Johnson & Johnson', 'Microsoft Corp')",4.177899991
"('FB', 'TSLA')","('Facebook Inc A', 'Tesla Inc')",4.1512999966
"('NVDA', 'TSLA')","('NVIDIA Corp', 'Tesla Inc')",4.108000006599999
"('BRK.B', 'AAPL')","('Berkshire Hathaway Inc Class B', 'Apple Inc')",3.9264000033000004
"('2330.TW', '00700')","('Taiwan Semiconductor Manufacturing Co Ltd', 'Tencent Holdings Ltd')",3.8440000329999995
"('XOM', 'CVX')","('Exxon Mobil Corp', 'Chevron Corp')",3.790599983
"('BRK.B', 'MSFT')","('Berkshire Hathaway Inc Class B', 'Microsoft Corp')",3.4233999932999994
"('AMZN', 'JPM')","('Amazon.com Inc', 'JPMorgan Chase & Co')",3.2770999850999996
"('TFDXX', 'HOLD')","('BlackRock Liquidity FedFund Instl', 'AdvisorShares Sage Core Reserve')",3.2470998
"('2330.TW', '005930.KS')","('Taiwan Semiconductor Manufacturing Co Ltd', 'Samsung Electronics Co Ltd')",3.1925000139999993
"('BRK.B', 'AMZN')","('Berkshire Hathaway Inc Class B', 'Amazon.com Inc')",3.1503999912999996
"('MSFT', 'ADBE')","('Microsoft Corp', 'Adobe Inc')",3.1064999856
"('EAGG', 'ESGU')","('iShares ESG Aware U.S. Aggregat', 'iShares ESG Aware MSCI USA ETF')",3.05370001
"('NESN', 'ROG')","('Nestle SA', 'Roche Holding AG')",3.0114999658
"('BRK.B', 'JPM')","('Berkshire Hathaway Inc Class B', 'JPMorgan Chase & Co')",3.007699989
"('09988', '00700')","('Alibaba Group Holding Ltd Ordinary Shares', 'Tencent Holdings Ltd')",3.0017000069999997
"('V', 'AMZN')","('Visa Inc Class A', 'Amazon.com Inc')",2.9428000080999985
"('TFDXX', 'FCGXX')","('BlackRock Liquidity FedFund Instl', 'FidelityÂ® Inv MM Fds Government III')",2.9203998
"('09988', '03690')","('Alibaba Group Holding Ltd Ordinary Shares', 'Meituan')",2.8514999989999996
"('00700', '00939')","('Tencent Holdings Ltd', 'China Construction Bank Corp Class H')",2.8413000066000005
"('TFDXX', 'GRUB')","('BlackRock Liquidity FedFund Instl', 'Just Eat Takeaway.com NV ADR')",2.826999802
"('TFDXX', 'APPF')","('BlackRock Liquidity FedFund Instl', 'AppFolio Inc A')",2.826799802
"('TFDXX', 'EHTH')","('BlackRock Liquidity FedFund Instl', 'eHealth Inc')",2.8223998000000003
"('TFDXX', 'PCG')","('BlackRock Liquidity FedFund Instl', 'PG&E Corp')",2.8211998
"('TFDXX', 'WH')","('BlackRock Liquidity FedFund Instl', 'Wyndham Hotels & Resorts Inc Ordinary Shares')",2.819299802
"('TFDXX', 'BEKE')","('BlackRock Liquidity FedFund Instl', 'KE Holdings Inc ADR')",2.8189998000000003
"('TFDXX', 'MKTX')","('BlackRock Liquidity FedFund Instl', 'MarketAxess Holdings Inc')",2.8179998000000004
"('JNK', 'HYG')","('SPDR Bloomberg Barclays High Yi', 'iShares iBoxx $ High Yield Corp')",2.7884000240000004
"('MSFT', 'UNH')","('Microsoft Corp', 'UnitedHealth Group Inc')",2.724800001
"('MA', 'MSFT')","('Mastercard Inc A', 'Microsoft Corp')",2.7211999565
"('AAPL', 'ADBE')","('Apple Inc', 'Adobe Inc')",2.665899990499999
"('GOOGL', 'JPM')","('Alphabet Inc A', 'JPMorgan Chase & Co')",2.5730000020999992
"('2330.TW', '09988')","('Taiwan Semiconductor Manufacturing Co Ltd', 'Alibaba Group Holding Ltd Ordinary Shares')",2.5651000085000004
"('GOOGL', 'V')","('Alphabet Inc A', 'Visa Inc Class A')",2.5242000180999997
"('00700', '005930.KS')","('Tencent Holdings Ltd', 'Samsung Electronics Co Ltd')",2.489599993000001
