Symbol,Name,SumWeights
MSFT,Microsoft Corp,12.343699967600003
AAPL,Apple Inc,12.28220000550001
AMZN,Amazon.com Inc,9.429299941
GOOGL,Alphabet Inc A,9.031200038299996
IVV,iShares Core S&P 500 ETF,7.236699989000001
FB,Facebook Inc A,6.125399965499998
AGPXX,Invesco Shrt-Trm Inv Gov&Agcy Instl,6.000499988970002
QQQ,"Invesco QQQ Trust, Series 1",5.2748999649999995
NVDA,NVIDIA Corp,4.695799988500001
TSLA,Tesla Inc,4.4323000216
00700,Tencent Holdings Ltd,4.004899987299998
JPM,JPMorgan Chase & Co,3.0248000070999987
JNJ,Johnson & Johnson,3.0107999885000005
VOO,Vanguard S&P 500 ETF,2.9534998999999997
2330.TW,Taiwan Semiconductor Manufacturing Co Ltd,2.934400023
SPY,SPDR S&P 500,2.8348000120000005
TFDXX,BlackRock Liquidity FedFund Instl,2.7854998
XTSLA,BlackRock Cash Funds Treasury SL Agency,2.7221999929
TLT,iShares 20+ Year Treasury Bond ,2.7151999650000005
XOM,Exxon Mobil Corp,2.63249998
BABA,Alibaba Group Holding Ltd ADR,2.4665999732999997
BRK.B,Berkshire Hathaway Inc Class B,2.3208999920999993
XLK,SPDR Select Sector Fund - Techn,2.2588000349999997
09988,Alibaba Group Holding Ltd Ordinary Shares,2.1723000034999997
NESN,Nestle SA,2.0724999886
DGCXX,Dreyfus Government Cash Mgmt Instl,2.04299999997
V,Visa Inc Class A,2.0317999941
VZ,Verizon Communications Inc,1.9272999898999998
03690,Meituan,1.9262000149999994
VCSH,Vanguard Short-Term Corporate B,1.9152000329999999
CVX,Chevron Corp,1.902500002
EAGG,iShares ESG Aware U.S. Aggregat,1.8881000000000001
UNH,UnitedHealth Group Inc,1.8873999939999997
HYG,iShares iBoxx $ High Yield Corp,1.8449000140000003
ROG,Roche Holding AG,1.8220999808
UBM21,Ultra US Treasury Bond Future June 21,1.8161999999999998
005930.KS,Samsung Electronics Co Ltd,1.7863999949999996
JNK,SPDR Bloomberg Barclays High Yi,1.744200019
FXFXX,First American Treasury Obligs X,1.7411999602000001
ASML,ASML Holding NV ADR,1.7365000025999995
CSCO,Cisco Systems Inc,1.7233999720000004
PYPL,PayPal Holdings Inc,1.7175000050000002
SCHO,Schwab Short-Term U.S. Treasury,1.6952999999999998
LQD,iShares iBoxx $ Investment Grad,1.6738000039999998
ZNU21,10 Year Treasury Note Future Sept 21,1.6695999810000002
HD,The Home Depot Inc,1.6657000035000002
SSPY,Syntax Stratified LargeCap ETF,1.61910003
AGG,iShares Core U.S. Aggregate Bon,1.5763998819999998
PG,Procter & Gamble Co,1.5626000080000004
IJR,iShares Core S&P Small-Cap ETF,1.5623
BAC,Bank of America Corp,1.5170000109999997
GDX.AX,VanEck Vectors Gold Miners ETF,1.4606
HYLB,Xtrackers USD High Yield Corpor,1.4188
ESU21,E-mini S&P 500 Future Sept 21,1.41739997
ADBE,Adobe Inc,1.4167999890000005
AMT,American Tower Corp,1.4023999879999998
PLD,Prologis Inc,1.3869999924999998
XLF,SPDR Select Sector Fund - Finan,1.3422000240000003
PFE,Pfizer Inc,1.3276000000000001
INTC,Intel Corp,1.2868999955
TPIXX,State Street Instl Trs Pls MMkt Premier,1.2798000002999999
ENB.TO,Enbridge Inc,1.2494999900000001
INFY.BO,Infosys Ltd,1.2446999931000005
NIO,NIO Inc ADR,1.194300007
IJH,iShares Core S&P Mid-Cap ETF,1.1837000199999999
NEE,NextEra Energy Inc,1.181999996
XLY,SPDR Select Sector Fund - Consu,1.173500016
ESGU,iShares ESG Aware MSCI USA ETF,1.16560001
MA,Mastercard Inc A,1.1582999955000002
IEF,iShares 7-10 Year Treasury Bond,1.13949999999
JD,JD.com Inc ADR,1.1367000025
7203,Toyota Motor Corp,1.1332000082
WFC,Wells Fargo & Co,1.1308000175000001
NOVN,Novartis AG,1.1302999971
VTI,Vanguard Total Stock Market ETF,1.128499997
WBSN21,WTI Crude Future June 21,1.1221999999999999
BISXX,BlackRock Cash Funds Instl SL Agency,1.085900003
EQIX,Equinix Inc,1.084699997
ABBV,AbbVie Inc,1.082999997
SQ,Square Inc A,1.052499984
T,AT&T Inc,1.0404000005000003
QCOM,Qualcomm Inc,1.0286999989999999
MRK,Merck & Co Inc,1.0280000029999998
VTWO,Vanguard Russell 2000 ETF,1.0275
IWD,iShares Russell 1000 Value ETF,1.025099952
RIO.L,Rio Tinto PLC,1.0209999815
COP,ConocoPhillips,1.0135000015
TXN,Texas Instruments Inc,1.0103000015
SAP.DE,SAP SE,1.0074000002
CLN1,Light Sweet Crude Oil Future July 21,1.0
MUB,iShares National Muni Bond ETF,0.9997
ZNM21,10 Year Treasury Note Future June 21,0.9995
BND,Vanguard Total Bond Market ETF,0.9980999939999999
ULVR.L,Unilever PLC,0.9974999979999998
IWM,iShares Russell 2000 ETF,0.9962
PM,Philip Morris International Inc,0.991199995
MC.PA,LVMH Moet Hennessy Louis Vuitton SE,0.9895999974999998
USHY,iShares Broad USD High Yield Co,0.9876
CCI,Crown Castle International Corp,0.9782999800000001
VALE3.SA,Vale SA,0.9670999940000001
WMT,Walmart Inc,0.9661000095000001
DIS,The Walt Disney Co,0.9423999919999999
AVGO,Broadcom Inc,0.9400000059999999
IWF,iShares Russell 1000 Growth ETF,0.9395
NOVO B,Novo Nordisk A/S B,0.9296999970000003
NEM,Newmont Corp,0.918900026
ZBU21,US Treasury Bond Future Sept 21,0.898199997
NKE,Nike Inc B,0.8965999908999998
GCG22,Gold Future Feb 22,0.8903000699999999
CRWD,CrowdStrike Holdings Inc Class A,0.8844999889999999
TGT,Target Corp,0.8808000013000001
ZFU21,5 Year Treasury Note Future Sept 21,0.8599
TMO,Thermo Fisher Scientific Inc,0.8598999914000001
SCHP,Schwab U.S. TIPs ETF,0.8547
SHOP.TO,Shopify Inc A,0.8533000049999998
HOLD,AdvisorShares Sage Core Reserve,0.85229998
BIDU,Baidu Inc ADR,0.8445000049999999
