Symbol,Name,NumAppearances,Holders,DiffEntries,DiffValue
STZ,Constellation Brands Inc A,3,"[('TOKE', 0.052), ('PBJ', 0.05), ('PBJ', 0.05)]",2345,2
SYY,Sysco Corp,3,"[('PBJ', 0.048), ('PEJ', 0.047), ('SSPY', 0.008)]",2301,2
RIG,Transocean Ltd,3,"[('PXJ', 0.056), ('XES', 0.053), ('IEZ', 0.044)]",2098,2
HAL,Halliburton Co,3,"[('IEZ', 0.209), ('PXJ', 0.07), ('XES', 0.046)]",2096,2
CHX,ChampionX Corp,3,"[('PXJ', 0.069), ('IEZ', 0.046), ('XES', 0.045)]",2096,2
EDD,MS Emerging Markets Domestic,2,"[('RDFI', 0.055), ('ALTY', 0.03)]",2013,1
EMD,Western Asset Emerg Mkts Debt,2,"[('RDFI', 0.079), ('ALTY', 0.03)]",2011,1
BDX,"Becton, Dickinson and Co",2,"[('IHI', 0.042), ('VSL', 0.039)]",1934,1
9104,Mitsui O.S.K. Lines Ltd,2,"[('SCJ', 0.006), ('HSCZ', 0.003)]",1703,1
CBOE,Cboe Global Markets Inc,2,"[('IAI', 0.047), ('RYF', 0.017)]",1674,1
ALLE,Allegion PLC,2,"[('XHB', 0.036), ('STNC', 0.032)]",1601,1
FTCI,FTC Solar Inc,2,"[('PBW', 0.018), ('RYJ', 0.007)]",1560,1
BKR,Baker Hughes Co Class A,2,"[('PXJ', 0.063), ('IEZ', 0.043)]",1538,1
FTI,TechnipFMC PLC,2,"[('PXJ', 0.075), ('IEZ', 0.042)]",1533,1
MLM,Martin Marietta Materials Inc,2,"[('PKB', 0.051), ('RTM', 0.037)]",1528,1
AVT,Avnet Inc,2,"[('RFV', 0.021), ('RWK', 0.013)]",1491,1
6367,Daikin Industries Ltd,2,"[('HJPX', 0.018), ('NUDM', 0.015)]",1412,1
HUBB,Hubbell Inc,2,"[('AIRR', 0.031), ('FVD', 0.005)]",1393,1
LBRT,Liberty Oilfield Services Inc,2,"[('PXJ', 0.066), ('XES', 0.044)]",1385,1
NBR,Nabors Industries Ltd,2,"[('XES', 0.046), ('PXI', 0.028)]",1382,1
STMP,Stamps.com Inc,2,"[('XWEB', 0.032), ('PSCD', 0.023)]",1365,1
CME,CME Group Inc Class A,2,"[('IAI', 0.044), ('LSLT', 0.011)]",1338,1
CHWY,Chewy Inc,2,"[('PAWZ', 0.088), ('XWEB', 0.023)]",1323,1
VTRS,Viatris Inc,2,"[('IHE', 0.042), ('LBAY', 0.041)]",1295,1
NNN,National Retail Properties Inc,2,"[('NETL', 0.08), ('SDY', 0.019)]",1294,1
TRV,The Travelers Companies Inc,2,"[('KBWP', 0.078), ('IAK', 0.045)]",1251,1
MNKD,MannKind Corp,2,"[('XBI', 0.008), ('LABU', 0.004)]",1239,1
OCGN,Ocugen Inc,2,"[('XBI', 0.008), ('LABU', 0.004)]",1239,1
FFIV,F5 Networks Inc,2,"[('IGN', 0.083), ('IYZ', 0.034)]",1193,1
PH,Parker Hannifin Corp,2,"[('PAVE', 0.029), ('JHMM', 0.005)]",1184,1
9519,RENOVA Inc,2,"[('IMOM', 0.024), ('PBD', 0.01)]",1134,1
CE,Celanese Corp Class A,2,"[('FXZ', 0.046), ('PYZ', 0.039)]",1034,1
FBHS,Fortune Brands Home & Security Inc,2,"[('XHB', 0.036), ('FSMD', 0.003)]",1025,1
OII,Oceaneering International Inc,2,"[('XES', 0.044), ('FNDA', 0.004)]",1010,1
