Bigram,Name,NumAppearances,Holders,DiffEntries,DiffValue
"('FND', 'HD')","('Floor & Decor Holdings Inc', 'The Home Depot Inc')",2,"[('PKB', 0.085), ('XHB', 0.074)]",New,New+2
"('FND', 'LOW')","('Floor & Decor Holdings Inc', ""Lowe's Companies Inc"")",2,"[('PKB', 0.085), ('XHB', 0.074)]",New,New+2
"('FND', 'JCI')","('Floor & Decor Holdings Inc', 'Johnson Controls International PLC')",2,"[('PKB', 0.087), ('XHB', 0.074)]",New,New+2
"('HD', 'JCI')","('The Home Depot Inc', 'Johnson Controls International PLC')",2,"[('PKB', 0.109), ('XHB', 0.073)]",New,New+2
"('JCI', 'LOW')","('Johnson Controls International PLC', ""Lowe's Companies Inc"")",2,"[('PKB', 0.109), ('XHB', 0.072)]",New,New+2
"('035420.KS', '09618')","('NAVER Corp', 'JD.com Inc Ordinary Shares - Class A')",1,"[('AIA', 0.037)]",New,New+1
"('01299.HK', '035420.KS')","('AIA Group Ltd', 'NAVER Corp')",1,"[('AIA', 0.062)]",New,New+1
"('00388.HK', '035420.KS')","('Hong Kong Exchanges and Clearing Ltd', 'NAVER Corp')",1,"[('AIA', 0.041)]",New,New+1
"('00939', '035420.KS')","('China Construction Bank Corp Class H', 'NAVER Corp')",1,"[('AIA', 0.039)]",New,New+1
"('CVA', 'WNC')","('Covanta Holding Corp', 'Wabash National Corp')",1,"[('AIRR', 0.062)]",New,New+1
"('MYRG', 'WNC')","('MYR Group Inc', 'Wabash National Corp')",1,"[('AIRR', 0.064)]",New,New+1
"('MWA', 'WNC')","('Mueller Water Products, Inc. Class A', 'Wabash National Corp')",1,"[('AIRR', 0.063)]",New,New+1
"('ROLL', 'WNC')","('RBC Bearings Inc', 'Wabash National Corp')",1,"[('AIRR', 0.065)]",New,New+1
"('CLH', 'WNC')","('Clean Harbors Inc', 'Wabash National Corp')",1,"[('AIRR', 0.063)]",New,New+1
"('PWR', 'WNC')","('Quanta Services Inc', 'Wabash National Corp')",1,"[('AIRR', 0.063)]",New,New+1
"('APG', 'WNC')","('APi Group Corp', 'Wabash National Corp')",1,"[('AIRR', 0.062)]",New,New+1
"('HUBB', 'WNC')","('Hubbell Inc', 'Wabash National Corp')",1,"[('AIRR', 0.062)]",New,New+1
