Bigram,Name,NumAppearances,Holders
"('AAPL', 'BRK.B')","('Apple Inc', 'Berkshire Hathaway Inc Class B')",55,"[('TMFC', 0.144), ('XLG', 0.137), ('OEF', 0.11), ('USMC', 0.091), ('IWL', 0.089)]"
"('JPM', 'TSLA')","('JPMorgan Chase & Co', 'Tesla Inc')",53,"[('MTUM', 0.101), ('NACP', 0.056), ('ESG', 0.054), ('XLG', 0.051), ('MMTM', 0.042)]"
"('AMZN', 'BRK.B')","('Amazon.com Inc', 'Berkshire Hathaway Inc Class B')",53,"[('DUSA', 0.158), ('KNGS', 0.128), ('TMFC', 0.114), ('XLG', 0.103), ('OEF', 0.082)]"
"('BRK.B', 'GOOGL')","('Berkshire Hathaway Inc Class B', 'Alphabet Inc A')",53,"[('DUSA', 0.188), ('TMFC', 0.112), ('DWLD', 0.095), ('OPPX', 0.081), ('FBCV', 0.07)]"
"('AAPL', 'V')","('Apple Inc', 'Visa Inc Class A')",52,"[('FTEC', 0.229), ('VGT', 0.227), ('IXN', 0.2), ('TECL', 0.169), ('IWY', 0.15)]"
"('BRK.B', 'MSFT')","('Berkshire Hathaway Inc Class B', 'Microsoft Corp')",52,"[('XLG', 0.132), ('TMFC', 0.129), ('OEF', 0.106), ('IWL', 0.085), ('BKLC', 0.081)]"
"('NOVN', 'ROG')","('Novartis AG', 'Roche Holding AG')",51,"[('FLSW', 0.261), ('HDEF', 0.106), ('HDAW', 0.099), ('OEUR', 0.069), ('RFEU', 0.053)]"
"('ASML', 'ROG')","('ASML Holding NV ADR', 'Roche Holding AG')",50,"[('IDHQ', 0.11), ('OEUR', 0.081), ('IQLT', 0.078), ('RFEU', 0.074), ('IQDG', 0.066)]"
"('NESN', 'NOVN')","('Nestle SA', 'Novartis AG')",50,"[('FLSW', 0.32), ('HART', 0.1), ('SDGA', 0.091), ('OEUR', 0.068), ('IGRO', 0.062)]"
"('BRK.B', 'FB')","('Berkshire Hathaway Inc Class B', 'Facebook Inc A')",50,"[('KNGS', 0.229), ('DUSA', 0.13), ('DWLD', 0.092), ('TMFC', 0.075), ('XLG', 0.07)]"
"('ASML', 'NESN')","('ASML Holding NV ADR', 'Nestle SA')",48,"[('IDHQ', 0.107), ('OEUR', 0.08), ('JIG', 0.077), ('IQLT', 0.075), ('RFEU', 0.075)]"
"('GOOGL', 'JNJ')","('Alphabet Inc A', 'Johnson & Johnson')",46,"[('TMFC', 0.102), ('HART', 0.098), ('XOUT', 0.075), ('QLV', 0.067), ('IOO', 0.065)]"
"('DAPXX', 'FTIXX')","('Dreyfus Government Secs Cash Mgmt Admin', 'Goldman Sachs FS Treasury Intms Instl')",46,"[('TZA', 1.187), ('YANG', 1.047), ('CHAD', 0.995), ('SPXS', 0.982), ('MEXX', 0.76)]"
"('GOOGL', 'V')","('Alphabet Inc A', 'Visa Inc Class A')",45,"[('TMFC', 0.107), ('TCHP', 0.093), ('FDG', 0.09), ('JOYY', 0.089), ('LCG', 0.088)]"
"('JPM', 'NVDA')","('JPMorgan Chase & Co', 'NVIDIA Corp')",45,"[('AVDG', 0.102), ('XLG', 0.05), ('NACP', 0.048), ('OEF', 0.04), ('ESGA', 0.039)]"
"('ASML', 'MC.PA')","('ASML Holding NV ADR', 'LVMH Moet Hennessy Louis Vuitton SE')",45,"[('IMTM', 0.102), ('HEDJ', 0.1), ('HEZU', 0.089), ('IHDG', 0.079), ('IQDG', 0.079)]"
"('00700', '03690')","('Tencent Holdings Ltd', 'Meituan')",41,"[('FDNI', 0.198), ('FLCH', 0.195), ('MCHI', 0.179), ('CXSE', 0.178), ('FXI', 0.178)]"
"('ASML', 'NOVN')","('ASML Holding NV ADR', 'Novartis AG')",40,"[('RFEU', 0.062), ('OEUR', 0.061), ('IEV', 0.048), ('RFDI', 0.047), ('BBEU', 0.046)]"
"('MC.PA', 'ROG')","('LVMH Moet Hennessy Louis Vuitton SE', 'Roche Holding AG')",40,"[('IQDG', 0.091), ('IHDG', 0.09), ('EUDG', 0.075), ('OEUR', 0.075), ('QLVD', 0.057)]"
"('BRK.B', 'TSLA')","('Berkshire Hathaway Inc Class B', 'Tesla Inc')",40,"[('MTUM', 0.1), ('TMFC', 0.064), ('XLG', 0.054), ('OEF', 0.043), ('SPXT', 0.04)]"
"('JNJ', 'JPM')","('Johnson & Johnson', 'JPMorgan Chase & Co')",40,"[('FLV', 0.097), ('DURA', 0.093), ('VIG', 0.075), ('WKLY', 0.074), ('IWX', 0.069)]"
"('00700', '2330.TW')","('Tencent Holdings Ltd', 'Taiwan Semiconductor Manufacturing Co Ltd')",39,"[('AIA', 0.24), ('EMSG', 0.198), ('EEMO', 0.164), ('NUEM', 0.145), ('QLVE', 0.142)]"
"('MC.PA', 'NESN')","('LVMH Moet Hennessy Louis Vuitton SE', 'Nestle SA')",39,"[('OEUR', 0.074), ('EUDG', 0.071), ('JIG', 0.07), ('QLVD', 0.06), ('IEV', 0.053)]"
"('BAC', 'JPM')","('Bank of America Corp', 'JPMorgan Chase & Co')",39,"[('IYG', 0.191), ('XLF', 0.19), ('KBWB', 0.164), ('VFH', 0.159), ('FNCL', 0.158)]"
"('AMZN', 'V')","('Amazon.com Inc', 'Visa Inc Class A')",38,"[('TCHP', 0.138), ('LRGE', 0.13), ('TGRW', 0.127), ('IGM', 0.112), ('IWY', 0.111)]"
"('FB', 'JNJ')","('Facebook Inc A', 'Johnson & Johnson')",38,"[('QUAL', 0.078), ('ESG', 0.068), ('SPUS', 0.067), ('TMFC', 0.065), ('ESGG', 0.06)]"
"('ROG', 'ULVR.L')","('Roche Holding AG', 'Unilever PLC')",38,"[('HDEF', 0.103), ('IHDG', 0.094), ('IQDG', 0.094), ('HDAW', 0.088), ('IDHQ', 0.078)]"
"('MSFT', 'UNH')","('Microsoft Corp', 'UnitedHealth Group Inc')",37,"[('SCHG', 0.129), ('DIA', 0.128), ('DIVO', 0.121), ('IVLC', 0.106), ('VNSE', 0.096)]"
"('NVDA', 'V')","('NVIDIA Corp', 'Visa Inc Class A')",37,"[('VEGN', 0.084), ('KOIN', 0.083), ('LRGE', 0.08), ('FTEC', 0.076), ('VGT', 0.074)]"
"('FB', 'V')","('Facebook Inc A', 'Visa Inc Class A')",36,"[('LRGE', 0.112), ('TCHP', 0.098), ('JOYY', 0.09), ('IGM', 0.087), ('IETC', 0.083)]"
"('ASML', 'SAP.DE')","('ASML Holding NV ADR', 'SAP SE')",36,"[('IDHQ', 0.087), ('HEZU', 0.077), ('PTEU', 0.072), ('DBEZ', 0.066), ('EURZ', 0.066)]"
