Symbol,Name,SumWeights,Holders,DiffEntries,DiffValue
FTI,TechnipFMC PLC,0.11699999999999999,"[('PXJ', 0.075), ('IEZ', 0.042)]",New,New
BKR,Baker Hughes Co Class A,0.106,"[('PXJ', 0.063), ('IEZ', 0.043)]",New,New
QGEN,Qiagen NV,0.056,"[('PBE', 0.056)]",New,New
YUM,Yum Brands Inc,0.047,"[('PEJ', 0.047)]",New,New
WHD,Cactus Inc Class A,0.034,"[('IEZ', 0.034)]",New,New
01347,Hua Hong Semiconductor Ltd Unitary 144A/Reg S,0.023,"[('CHIK', 0.023)]",New,New
BHF,Brighthouse Financial Inc,0.023,"[('RFG', 0.023)]",New,New
CARG,CarGurus Inc Class A,0.023,"[('XWEB', 0.023)]",New,New
TDS,Telephone and Data Systems Inc,0.022,"[('RFV', 0.022)]",New,New
SOL,ReneSola Ltd ADR,0.018,"[('PBW', 0.018)]",New,New
FUV,Arcimoto Inc,0.017,"[('PBW', 0.017)]",New,New
247540.KS,Ecopro BM Co Ltd Ordinary Shares,0.011,"[('PBD', 0.011)]",New,New
361610.KS,SK Ie Technology Co Ltd,0.011,"[('PBD', 0.011)]",New,New
1407,West Holdings Corp,0.011,"[('PBD', 0.011)]",New,New
NDX1.DE,Nordex SE,0.01,"[('PBD', 0.01)]",New,New
WKHS,Workhorse Group Inc,0.004,"[('IWC', 0.004)]",New,New
INDT,Indutrade AB,0.003,"[('HSCZ', 0.003)]",New,New
MGGT.L,Meggitt PLC,0.003,"[('HSCZ', 0.003)]",New,New
PTGX,Protagonist Therapeutics Inc,0.003,"[('IWC', 0.003)]",New,New
PRTA.IR,Prothena Corp PLC,0.003,"[('IWC', 0.003)]",New,New
UIS,Unisys Corp,0.003,"[('IWC', 0.003)]",New,New
CSTL,Castle Biosciences Inc,0.003,"[('IWC', 0.003)]",New,New
SENS,Senseonics Holdings Inc,0.003,"[('IWC', 0.003)]",New,New
