Bigram,Name,SumWeights,Holders,DiffEntries,DiffValue
"('FTI', 'SLB')","('TechnipFMC PLC', 'Schlumberger Ltd')",0.401,"[('IEZ', 0.258), ('PXJ', 0.143)]",New,New
"('FTI', 'HAL')","('TechnipFMC PLC', 'Halliburton Co')",0.396,"[('IEZ', 0.251), ('PXJ', 0.145)]",New,New
"('NOV', 'SLB')","('NOV Inc', 'Schlumberger Ltd')",0.392,"[('IEZ', 0.26), ('PXJ', 0.132)]",New,New
"('BKR', 'SLB')","('Baker Hughes Co Class A', 'Schlumberger Ltd')",0.39,"[('IEZ', 0.259), ('PXJ', 0.131)]",New,New
"('HAL', 'NOV')","('Halliburton Co', 'NOV Inc')",0.386,"[('IEZ', 0.252), ('PXJ', 0.134)]",New,New
"('BKR', 'HAL')","('Baker Hughes Co Class A', 'Halliburton Co')",0.385,"[('IEZ', 0.252), ('PXJ', 0.133)]",New,New
"('ENB.TO', 'XOM')","('Enbridge Inc', 'Exxon Mobil Corp')",0.33299999999999996,"[('IXC', 0.185), ('IGE', 0.148)]",New,New
"('005930.KS', 'MSFT')","('Samsung Electronics Co Ltd', 'Microsoft Corp')",0.323,"[('IXN', 0.189), ('IOO', 0.134)]",New,New
"('TRP.TO', 'XOM')","('TC Energy Corp', 'Exxon Mobil Corp')",0.29700000000000004,"[('IXC', 0.167), ('IGE', 0.13)]",New,New
"('CVX', 'ENB.TO')","('Chevron Corp', 'Enbridge Inc')",0.294,"[('IXC', 0.15), ('IGE', 0.144)]",New,New
"('CVX', 'TRP.TO')","('Chevron Corp', 'TC Energy Corp')",0.259,"[('IXC', 0.133), ('IGE', 0.126)]",New,New
"('SLB', 'WHD')","('Schlumberger Ltd', 'Cactus Inc Class A')",0.25,"[('IEZ', 0.25)]",New,New
"('FTI', 'HP')","('TechnipFMC PLC', 'Helmerich & Payne Inc')",0.244,"[('PXJ', 0.154), ('IEZ', 0.09)]",New,New
"('HAL', 'WHD')","('Halliburton Co', 'Cactus Inc Class A')",0.243,"[('IEZ', 0.243)]",New,New
"('HP', 'NOV')","('Helmerich & Payne Inc', 'NOV Inc')",0.23299999999999998,"[('PXJ', 0.142), ('IEZ', 0.091)]",New,New
"('BKR', 'HP')","('Baker Hughes Co Class A', 'Helmerich & Payne Inc')",0.23299999999999998,"[('PXJ', 0.142), ('IEZ', 0.091)]",New,New
